DowntimeKey,Date,MachineKey,ShiftKey,ReasonKey,Downtime Minutes,Stop Count
138,2025-01-02,5,2,1,17.4,1
139,2025-01-02,5,2,2,39.3,1
140,2025-01-02,5,3,8,8.3,1
141,2025-01-02,5,3,3,22.9,3
142,2025-01-02,5,3,1,5.8,1
143,2025-01-02,6,1,4,20.3,1
144,2025-01-02,6,1,3,3.8,1
145,2025-01-02,6,1,2,60.7,2
146,2025-01-02,6,1,5,24.6,2
147,2025-01-02,6,2,5,19.5,1
148,2025-01-02,6,2,6,13.0,1
149,2025-01-02,6,2,1,0.8,1
150,2025-01-02,6,3,10,38.7,1
151,2025-01-02,6,3,1,11.9,2
152,2025-01-02,6,3,2,52.2,1
153,2025-01-02,6,3,5,15.9,1
154,2025-01-02,7,1,3,12.3,1
155,2025-01-02,7,1,1,19.4,2
156,2025-01-02,7,1,5,20.4,1
157,2025-01-02,7,2,2,81.9,4
158,2025-01-02,7,2,1,11.0,2
159,2025-01-02,7,2,3,23.9,2
160,2025-01-02,7,2,6,14.0,1
161,2025-01-02,7,2,7,15.2,1
162,2025-01-02,7,3,2,44.8,3
163,2025-01-02,8,1,1,1.8,1
164,2025-01-02,8,1,2,44.6,3
165,2025-01-02,8,1,3,46.0,1
166,2025-01-02,8,2,1,17.0,3
167,2025-01-02,8,2,3,34.6,2
168,2025-01-02,8,3,3,9.8,1
169,2025-01-02,8,3,2,86.5,3
170,2025-01-02,8,3,4,49.4,1
171,2025-01-02,8,3,7,25.1,1
172,2025-01-02,8,3,1,2.0,1
173,2025-01-02,9,1,5,21.8,1
174,2025-01-02,9,2,5,7.7,1
175,2025-01-02,9,2,1,16.2,2
176,2025-01-02,9,2,7,8.1,1
177,2025-01-02,9,3,1,6.8,1
178,2025-01-02,10,1,2,119.2,3
179,2025-01-02,10,1,6,37.8,1
180,2025-01-02,10,1,7,54.4,1
181,2025-01-02,10,1,1,31.1,1
182,2025-01-02,10,2,5,2.4,1
183,2025-01-02,10,2,1,22.3,2
184,2025-01-02,10,2,6,4.5,1
185,2025-01-02,10,3,2,151.2,4
186,2025-01-02,10,3,1,31.0,3
187,2025-01-02,10,3,4,36.8,1
188,2025-01-02,11,1,2,25.8,2
189,2025-01-02,11,1,7,3.7,1
190,2025-01-02,11,2,8,17.4,1
191,2025-01-02,11,2,1,7.8,1
192,2025-01-02,11,3,2,57.3,1
193,2025-01-02,11,3,1,4.3,1
194,2025-01-02,12,1,2,59.5,2
195,2025-01-02,12,1,3,14.6,1
196,2025-01-02,12,2,2,16.6,1
197,2025-01-02,12,3,4,32.8,1
198,2025-01-02,12,3,1,3.0,1
199,2025-01-02,12,3,2,66.8,1
200,2025-01-03,1,2,7,4.6,1
201,2025-01-03,1,3,1,12.5,1
202,2025-01-03,1,3,2,54.9,2
203,2025-01-03,1,3,3,14.9,1
204,2025-01-03,1,3,7,4.2,1
205,2025-01-03,2,1,5,19.5,1
206,2025-01-03,2,1,7,8.0,1
207,2025-01-03,2,1,1,0.8,1
208,2025-01-03,2,2,1,13.1,1
209,2025-01-03,2,2,3,10.3,1
210,2025-01-03,2,3,4,22.9,1
211,2025-01-03,2,3,5,39.1,1
212,2025-01-03,2,3,2,31.1,1
213,2025-01-03,2,3,6,54.1,1
214,2025-01-03,3,1,1,28.2,2
215,2025-01-03,3,1,5,10.6,1
216,2025-01-03,3,2,3,11.9,1
217,2025-01-03,3,2,5,33.5,2
218,2025-01-03,3,2,1,16.4,2
219,2025-01-03,3,2,6,85.7,1
220,2025-01-03,3,2,2,23.1,1
221,2025-01-03,3,3,2,37.3,3
222,2025-01-03,3,3,5,35.8,2
223,2025-01-03,3,3,3,15.1,1
224,2025-01-03,3,3,8,1.5,1
225,2025-01-03,3,3,1,14.4,1
226,2025-01-03,3,3,6,7.0,1
227,2025-01-03,4,1,2,10.0,1
228,2025-01-03,4,1,7,5.1,1
229,2025-01-03,4,3,3,21.5,1
230,2025-01-03,4,3,2,29.7,1
231,2025-01-03,4,3,1,2.0,1
232,2025-01-03,5,1,1,33.7,3
233,2025-01-03,5,1,4,57.3,1
234,2025-01-03,5,1,7,7.4,1
235,2025-01-03,5,1,2,29.1,1
236,2025-01-03,5,2,3,15.9,2
237,2025-01-03,5,2,1,10.2,1
238,2025-01-03,5,2,8,10.8,1
239,2025-01-03,5,3,4,62.8,1
240,2025-01-03,5,3,2,22.0,1
241,2025-01-03,6,1,1,26.1,2
242,2025-01-03,6,1,2,17.6,1
243,2025-01-03,6,1,3,8.6,1
244,2025-01-03,6,1,8,16.2,1
245,2025-01-03,6,2,1,2.7,1
246,2025-01-03,6,3,3,66.3,2
247,2025-01-03,6,3,1,20.5,3
248,2025-01-03,6,3,4,58.1,2
249,2025-01-03,6,3,2,16.1,1
250,2025-01-03,7,1,5,2.3,1
251,2025-01-03,7,1,2,66.3,2
252,2025-01-03,7,2,7,28.8,2
253,2025-01-03,7,2,2,45.9,2
254,2025-01-03,7,2,3,20.8,1
255,2025-01-03,7,2,1,13.8,1
256,2025-01-03,7,3,6,32.8,1
257,2025-01-03,7,3,1,8.1,1
258,2025-01-03,7,3,3,60.8,3
259,2025-01-03,8,1,1,3.6,1
260,2025-01-03,8,1,5,16.0,1
261,2025-01-03,8,1,2,26.1,1
262,2025-01-03,8,1,7,23.9,1
263,2025-01-03,8,2,1,45.1,3
264,2025-01-03,8,3,6,34.8,1
265,2025-01-03,8,3,4,61.5,1
266,2025-01-03,8,3,1,2.5,1
267,2025-01-03,8,3,2,38.2,1
268,2025-01-03,8,3,5,13.0,1
269,2025-01-03,9,1,1,7.7,2
270,2025-01-03,9,2,1,18.2,1
271,2025-01-03,9,2,5,61.4,2
272,2025-01-03,9,3,1,13.9,1
273,2025-01-03,10,1,2,44.8,1
274,2025-01-03,10,2,3,5.3,1
275,2025-01-03,10,2,6,25.7,1
276,2025-01-03,10,3,1,14.5,2
277,2025-01-03,11,1,2,42.5,2
278,2025-01-03,11,1,5,33.9,1
279,2025-01-03,11,2,1,54.7,2
280,2025-01-03,11,2,5,9.2,1
281,2025-01-03,11,3,2,17.2,1
282,2025-01-03,11,3,1,11.8,3
283,2025-01-03,11,3,5,24.8,1
284,2025-01-03,12,1,2,101.3,3
285,2025-01-03,12,1,1,26.0,2
286,2025-01-03,12,2,1,10.4,2
287,2025-01-03,12,2,5,8.2,1
288,2025-01-03,12,3,10,32.2,1
289,2025-01-03,12,3,4,13.3,1
290,2025-01-03,12,3,1,7.9,2
291,2025-01-03,12,3,2,34.9,1
292,2025-01-04,1,1,1,24.0,2
293,2025-01-04,1,3,1,14.0,1
294,2025-01-04,1,3,3,13.9,1
295,2025-01-04,2,1,7,12.1,1
296,2025-01-04,2,1,2,48.1,1
297,2025-01-04,2,1,5,10.9,1
298,2025-01-04,2,2,1,9.4,1
299,2025-01-04,2,2,2,67.4,2
300,2025-01-04,2,3,1,35.8,3
301,2025-01-04,3,1,1,5.6,1
302,2025-01-04,3,1,3,22.6,1
303,2025-01-04,3,1,2,4.1,1
304,2025-01-04,3,2,4,46.0,1
305,2025-01-04,3,2,1,27.6,2
306,2025-01-04,3,2,2,23.8,1
307,2025-01-04,3,3,7,7.2,1
308,2025-01-04,3,3,1,8.9,1
309,2025-01-04,3,3,2,38.8,2
310,2025-01-04,3,3,3,14.8,2
311,2025-01-04,4,1,6,17.7,1
312,2025-01-04,4,2,4,15.1,1
313,2025-01-04,4,3,1,11.2,1
314,2025-01-04,4,3,2,7.1,1
315,2025-01-04,5,1,1,6.4,2
316,2025-01-04,5,1,4,24.4,2
317,2025-01-04,5,1,6,20.1,1
318,2025-01-04,5,2,6,18.0,1
319,2025-01-04,5,2,7,39.5,2
320,2025-01-04,5,2,2,25.4,1
321,2025-01-04,5,3,1,15.3,2
322,2025-01-04,5,3,2,90.4,2
323,2025-01-04,6,1,2,54.9,2
324,2025-01-04,6,2,6,30.7,1
325,2025-01-04,6,2,4,34.3,1
326,2025-01-04,6,2,5,9.0,1
327,2025-01-04,6,2,2,53.9,2
328,2025-01-04,6,2,3,20.9,1
329,2025-01-04,6,3,7,13.7,1
330,2025-01-04,6,3,1,18.7,2
331,2025-01-04,6,3,2,22.7,1
332,2025-01-04,7,1,8,10.8,1
333,2025-01-04,7,1,1,17.4,2
334,2025-01-04,7,1,4,35.4,1
335,2025-01-04,7,1,5,60.5,3
336,2025-01-04,7,2,2,17.7,1
337,2025-01-04,7,2,1,10.6,1
338,2025-01-04,7,3,1,3.3,1
339,2025-01-04,7,3,7,12.7,1
340,2025-01-04,7,3,3,14.0,2
341,2025-01-04,7,3,6,1.5,1
342,2025-01-04,8,1,8,4.7,1
343,2025-01-04,8,1,1,18.8,1
344,2025-01-04,8,2,8,17.2,1
345,2025-01-04,8,2,1,11.8,1
346,2025-01-04,8,2,2,47.7,1
347,2025-01-04,8,2,3,41.1,2
348,2025-01-04,8,3,2,29.1,2
349,2025-01-04,8,3,1,21.5,1
350,2025-01-04,8,3,7,10.1,1
351,2025-01-04,8,3,5,8.2,1
352,2025-01-04,9,1,2,35.0,1
353,2025-01-04,9,2,4,43.6,1
354,2025-01-04,9,2,2,19.2,2
355,2025-01-04,9,3,3,76.2,1
356,2025-01-04,10,1,2,27.6,1
357,2025-01-04,10,1,4,46.3,1
358,2025-01-04,10,2,3,9.4,1
359,2025-01-04,10,2,1,7.1,2
360,2025-01-04,10,2,2,14.3,1
361,2025-01-04,10,3,1,10.8,2
362,2025-01-04,11,1,3,36.5,1
363,2025-01-04,11,1,4,19.1,1
364,2025-01-04,11,1,1,6.6,1
365,2025-01-04,11,2,6,27.8,1
366,2025-01-04,11,2,7,9.4,1
367,2025-01-04,11,3,2,79.0,1
368,2025-01-04,11,3,8,19.3,2
369,2025-01-04,11,3,3,25.0,1
370,2025-01-04,11,3,4,13.2,1
371,2025-01-04,11,3,5,13.1,1
372,2025-01-04,12,1,1,45.5,3
373,2025-01-04,12,1,4,36.7,1
374,2025-01-04,12,1,3,8.1,1
375,2025-01-04,12,2,3,13.4,1
376,2025-01-04,12,3,4,60.1,1
377,2025-01-05,1,1,2,54.0,2
378,2025-01-05,1,1,1,5.6,1
379,2025-01-05,1,1,6,59.4,1
380,2025-01-05,1,2,3,23.6,1
381,2025-01-05,1,2,1,4.4,1
382,2025-01-05,1,3,2,61.6,2
383,2025-01-05,2,1,3,13.0,1
384,2025-01-05,2,2,1,27.5,2
385,2025-01-05,2,2,3,16.0,1
386,2025-01-05,2,3,8,16.7,1
387,2025-01-05,2,3,3,53.1,1
388,2025-01-05,3,1,1,18.6,3
389,2025-01-05,3,1,6,23.6,1
390,2025-01-05,3,1,3,32.3,2
391,2025-01-05,3,1,8,14.0,1
392,2025-01-05,3,2,2,39.9,1
393,2025-01-05,3,2,3,12.1,1
394,2025-01-05,3,2,1,6.0,2
395,2025-01-05,3,2,4,24.8,1
396,2025-01-05,3,3,3,38.5,2
397,2025-01-05,3,3,2,36.3,2
398,2025-01-05,3,3,1,21.2,2
399,2025-01-05,3,3,7,20.7,1
400,2025-01-05,4,2,1,20.0,2
401,2025-01-05,4,2,4,36.8,1
402,2025-01-05,4,2,6,45.3,1
403,2025-01-05,4,3,1,10.5,1
404,2025-01-05,5,1,2,32.1,1
405,2025-01-05,5,1,5,17.2,1
406,2025-01-05,5,2,5,8.5,1
407,2025-01-05,5,2,3,18.0,2
408,2025-01-05,5,2,1,9.3,1
409,2025-01-05,5,3,1,20.8,1
410,2025-01-05,5,3,2,17.6,1
411,2025-01-05,5,3,4,20.4,1
412,2025-01-05,6,1,2,18.9,1
413,2025-01-05,6,1,7,31.4,3
414,2025-01-05,6,1,4,97.9,1
415,2025-01-05,6,1,8,4.4,1
416,2025-01-05,6,2,3,91.0,2
417,2025-01-05,6,2,4,1.6,1
418,2025-01-05,6,2,5,11.8,1
419,2025-01-05,6,2,1,12.3,2
420,2025-01-05,6,3,1,18.8,2
421,2025-01-05,6,3,3,39.7,2
422,2025-01-05,6,3,2,47.3,1
423,2025-01-05,6,3,4,34.8,1
424,2025-01-05,7,1,1,19.3,2
425,2025-01-05,7,1,7,17.0,2
426,2025-01-05,7,1,2,21.0,1
427,2025-01-05,7,1,4,60.5,2
428,2025-01-05,7,1,3,6.2,1
429,2025-01-05,7,1,6,23.9,1
430,2025-01-05,7,1,8,9.4,1
431,2025-01-05,7,2,8,7.8,1
432,2025-01-05,7,2,6,44.8,1
433,2025-01-05,7,2,3,27.0,2
434,2025-01-05,7,2,1,6.5,1
435,2025-01-05,7,3,3,30.0,1
436,2025-01-05,7,3,2,11.0,1
437,2025-01-05,7,3,6,47.0,1
438,2025-01-05,7,3,8,2.4,1
439,2025-01-05,7,3,4,3.1,1
440,2025-01-05,7,3,1,6.8,2
441,2025-01-05,7,3,7,12.6,1
442,2025-01-05,8,1,2,26.8,1
443,2025-01-05,8,2,5,37.6,1
444,2025-01-05,8,2,8,38.0,2
445,2025-01-05,8,2,3,16.8,1
446,2025-01-05,8,2,6,4.2,1
447,2025-01-05,8,3,1,10.4,3
448,2025-01-05,8,3,4,23.7,1
449,2025-01-05,8,3,3,5.9,1
450,2025-01-05,8,3,5,5.6,1
451,2025-01-05,9,1,1,16.6,2
452,2025-01-05,9,1,3,38.3,1
453,2025-01-05,9,3,2,18.0,1
454,2025-01-05,9,3,6,58.7,1
455,2025-01-05,10,1,3,14.7,1
456,2025-01-05,10,1,4,64.3,2
457,2025-01-05,10,2,4,11.4,1
458,2025-01-05,10,3,7,9.7,1
459,2025-01-05,10,3,1,6.1,3
460,2025-01-05,10,3,2,21.2,1
461,2025-01-05,10,3,4,42.5,1
462,2025-01-05,11,1,4,43.3,1
463,2025-01-05,11,1,5,47.5,2
464,2025-01-05,11,1,1,0.8,1
465,2025-01-05,11,1,2,51.9,1
466,2025-01-05,11,1,6,64.3,1
467,2025-01-05,11,2,3,18.7,1
468,2025-01-05,11,2,5,4.5,1
469,2025-01-05,11,2,1,8.1,1
470,2025-01-05,11,3,10,45.4,1
471,2025-01-05,11,3,1,26.0,3
472,2025-01-05,11,3,3,44.3,4
473,2025-01-05,11,3,2,42.8,1
474,2025-01-05,11,3,4,54.3,1
475,2025-01-05,11,3,6,7.4,1
476,2025-01-05,12,1,1,47.3,2
477,2025-01-05,12,1,4,26.6,1
478,2025-01-05,12,2,2,51.2,1
479,2025-01-05,12,3,5,24.8,1
480,2025-01-05,12,3,2,38.2,1
481,2025-01-06,1,1,1,10.7,1
482,2025-01-06,1,2,6,14.8,1
483,2025-01-06,1,3,8,6.0,1
484,2025-01-06,1,3,1,22.4,2
485,2025-01-06,2,2,1,7.1,2
486,2025-01-06,2,2,5,9.4,1
487,2025-01-06,2,2,2,28.7,1
488,2025-01-06,2,3,3,24.9,3
489,2025-01-06,2,3,1,6.9,1
490,2025-01-06,3,1,1,28.3,4
491,2025-01-06,3,1,3,4.1,1
492,2025-01-06,3,2,7,9.0,2
493,2025-01-06,3,2,3,12.5,1
494,2025-01-06,3,2,6,64.3,2
495,2025-01-06,3,2,5,41.9,1
496,2025-01-06,3,3,1,31.0,2
497,2025-01-06,3,3,6,30.3,1
498,2025-01-06,3,3,2,39.1,2
499,2025-01-06,3,3,4,38.1,1
500,2025-01-06,4,1,6,34.4,1
501,2025-01-06,4,1,4,64.3,1
502,2025-01-06,4,2,2,28.5,1
503,2025-01-06,4,2,1,6.3,1
504,2025-01-06,4,3,1,9.2,1
505,2025-01-06,5,1,2,81.5,1
506,2025-01-06,5,1,4,44.8,2
507,2025-01-06,5,1,1,1.4,1
508,2025-01-06,5,2,3,38.6,1
509,2025-01-06,5,2,2,58.0,1
510,2025-01-06,5,3,8,13.7,1
511,2025-01-06,5,3,2,103.5,4
512,2025-01-06,5,3,1,16.2,1
513,2025-01-06,5,3,3,22.3,1
514,2025-01-06,6,1,8,7.5,1
515,2025-01-06,6,1,1,4.9,1
516,2025-01-06,6,1,2,33.2,2
517,2025-01-06,6,1,7,1.7,1
518,2025-01-06,6,1,3,16.0,1
519,2025-01-06,6,2,1,17.4,2
520,2025-01-06,6,2,2,64.1,3
521,2025-01-06,6,3,8,9.5,1
522,2025-01-06,6,3,2,7.2,1
523,2025-01-06,7,1,1,19.0,2
524,2025-01-06,7,1,2,24.1,2
525,2025-01-06,7,1,4,68.4,2
526,2025-01-06,7,2,8,19.6,1
527,2025-01-06,7,2,6,35.4,1
528,2025-01-06,7,3,2,63.1,3
529,2025-01-06,8,1,7,2.2,1
530,2025-01-06,8,1,1,5.2,1
531,2025-01-06,8,1,2,22.1,1
532,2025-01-06,8,2,3,41.6,1
533,2025-01-06,8,2,2,12.3,1
534,2025-01-06,8,2,1,19.0,2
535,2025-01-06,8,3,3,15.6,1
536,2025-01-06,8,3,1,25.9,3
537,2025-01-06,8,3,4,73.1,1
538,2025-01-06,8,3,8,4.7,1
539,2025-01-06,9,1,1,58.3,4
540,2025-01-06,9,1,3,16.5,1
541,2025-01-06,9,2,7,0.7,1
542,2025-01-06,9,3,1,10.8,1
543,2025-01-06,9,3,5,14.4,1
544,2025-01-06,10,1,4,61.3,1
545,2025-01-06,10,1,7,16.7,1
546,2025-01-06,10,1,5,6.3,1
547,2025-01-06,10,1,2,45.4,2
548,2025-01-06,10,2,2,24.5,1
549,2025-01-06,10,3,7,36.2,2
550,2025-01-06,10,3,6,11.6,1
551,2025-01-06,10,3,1,40.0,2
552,2025-01-06,10,3,2,29.4,1
553,2025-01-06,11,1,1,24.6,2
554,2025-01-06,11,1,2,35.7,2
555,2025-01-06,11,2,7,14.1,1
556,2025-01-06,11,2,4,12.3,1
557,2025-01-06,11,2,1,10.5,1
558,2025-01-06,11,2,8,22.4,2
559,2025-01-06,11,2,2,39.6,1
560,2025-01-06,11,3,2,28.9,2
561,2025-01-06,11,3,1,26.7,2
562,2025-01-06,11,3,8,8.1,1
563,2025-01-06,11,3,3,7.2,1
564,2025-01-06,12,1,1,12.3,2
565,2025-01-06,12,1,2,5.8,1
566,2025-01-06,12,1,6,15.2,1
567,2025-01-06,12,2,2,84.8,3
568,2025-01-06,12,2,6,15.3,1
569,2025-01-07,1,1,1,13.0,2
570,2025-01-07,1,1,3,28.3,2
571,2025-01-07,1,1,6,29.6,1
572,2025-01-07,1,2,1,9.3,1
573,2025-01-07,1,2,4,34.4,1
574,2025-01-07,1,2,6,36.4,1
575,2025-01-07,1,3,1,3.0,1
576,2025-01-07,1,3,3,20.5,1
577,2025-01-07,2,1,7,8.7,1
578,2025-01-07,2,1,1,21.6,1
579,2025-01-07,3,1,2,139.3,4
580,2025-01-07,3,1,3,54.7,2
581,2025-01-07,3,1,5,7.7,1
582,2025-01-07,3,1,7,10.5,1
583,2025-01-07,3,1,1,7.3,1
584,2025-01-07,3,2,6,23.4,1
585,2025-01-07,3,2,1,58.4,4
586,2025-01-07,3,2,2,43.4,1
587,2025-01-07,3,2,4,89.7,1
588,2025-01-07,3,3,2,20.9,2
589,2025-01-07,3,3,6,36.3,1
590,2025-01-07,3,3,3,31.0,1
591,2025-01-07,4,1,1,8.2,1
592,2025-01-07,4,1,2,60.6,2
593,2025-01-07,4,1,4,82.2,2
594,2025-01-07,4,2,4,26.2,1
595,2025-01-07,4,3,1,1.5,1
596,2025-01-07,4,3,6,33.2,1
597,2025-01-07,5,1,1,11.0,1
598,2025-01-07,5,1,2,60.3,2
599,2025-01-07,5,1,7,7.5,1
600,2025-01-07,5,2,1,12.1,2
601,2025-01-07,5,3,2,54.8,2
602,2025-01-07,5,3,7,8.8,1
603,2025-01-07,5,3,5,4.0,1
604,2025-01-07,6,1,6,13.6,1
605,2025-01-07,6,1,3,12.0,1
606,2025-01-07,6,1,4,35.8,1
607,2025-01-07,6,1,2,9.2,1
608,2025-01-07,6,1,7,2.0,1
609,2025-01-07,6,1,8,19.6,1
610,2025-01-07,6,2,2,22.4,1
611,2025-01-07,6,2,3,29.1,1
612,2025-01-07,6,2,8,4.5,1
613,2025-01-07,6,2,1,17.4,2
614,2025-01-07,6,3,8,19.2,1
615,2025-01-07,6,3,1,37.9,2
616,2025-01-07,6,3,4,40.9,1
617,2025-01-07,6,3,2,28.5,1
618,2025-01-07,7,1,2,35.0,2
619,2025-01-07,7,1,1,27.0,3
620,2025-01-07,7,1,4,20.1,1
621,2025-01-07,7,1,3,10.2,1
622,2025-01-07,7,1,5,16.1,1
623,2025-01-07,7,1,7,4.2,1
624,2025-01-07,7,1,6,47.2,1
625,2025-01-07,7,2,2,57.3,3
626,2025-01-07,7,2,3,28.2,1
627,2025-01-07,7,2,1,18.7,2
628,2025-01-07,7,2,5,5.7,1
629,2025-01-07,7,3,2,55.4,3
630,2025-01-07,7,3,5,25.0,1
631,2025-01-07,7,3,4,60.6,1
632,2025-01-07,7,3,1,5.7,1
633,2025-01-07,8,1,1,20.0,3
634,2025-01-07,8,1,3,13.7,1
635,2025-01-07,8,1,6,66.1,2
636,2025-01-07,8,1,5,7.1,1
637,2025-01-07,8,1,2,10.0,1
638,2025-01-07,8,2,1,8.8,2
639,2025-01-07,8,2,7,14.9,1
640,2025-01-07,8,3,1,16.2,3
641,2025-01-07,8,3,5,8.8,1
642,2025-01-07,8,3,7,27.9,1
643,2025-01-07,8,3,2,8.1,1
644,2025-01-07,9,1,2,16.3,2
645,2025-01-07,9,1,1,3.8,1
646,2025-01-07,9,2,5,7.9,1
647,2025-01-07,9,3,3,8.0,1
648,2025-01-07,9,3,2,24.7,2
649,2025-01-07,9,3,5,10.0,1
650,2025-01-07,10,1,1,16.6,2
651,2025-01-07,10,1,4,42.5,1
652,2025-01-07,10,1,7,10.5,1
653,2025-01-07,10,2,4,135.4,3
654,2025-01-07,10,2,2,48.8,3
655,2025-01-07,10,3,1,23.9,2
656,2025-01-07,10,3,6,26.1,1
657,2025-01-07,10,3,4,37.7,1
658,2025-01-07,11,1,3,45.1,2
659,2025-01-07,11,1,4,26.6,1
660,2025-01-07,11,1,5,21.5,1
661,2025-01-07,11,1,2,57.5,1
662,2025-01-07,11,2,1,20.3,2
