ProductionKey,Date,MachineKey,ShiftKey,Planned Minutes,Run Minutes,Ideal Minutes,Units Produced,Units Good
75,2025-01-03,1,3,480.0,393.5,335.6,1678,1658
76,2025-01-03,2,1,480.0,451.7,404.6,2023,2006
77,2025-01-03,2,2,480.0,456.6,401.0,2005,1978
78,2025-01-03,2,3,480.0,332.8,293.6,1468,1446
79,2025-01-03,3,1,480.0,441.2,362.9,1613,1577
80,2025-01-03,3,2,480.0,309.4,261.0,1160,1130
81,2025-01-03,3,3,480.0,368.9,290.5,1291,1266
82,2025-01-03,4,1,480.0,464.9,423.1,2672,2661
83,2025-01-03,4,2,480.0,480.0,444.4,2807,2768
84,2025-01-03,4,3,480.0,426.8,381.1,2407,2375
85,2025-01-03,5,1,480.0,352.5,311.1,889,870
86,2025-01-03,5,2,480.0,443.1,385.4,1101,1071
87,2025-01-03,5,3,480.0,395.2,326.6,933,914
88,2025-01-03,6,1,480.0,411.5,351.1,1003,982
89,2025-01-03,6,2,480.0,477.3,408.4,1167,1144
90,2025-01-03,6,3,480.0,319.0,266.4,761,745
91,2025-01-03,7,1,480.0,411.4,320.8,802,779
92,2025-01-03,7,2,480.0,370.7,299.2,748,723
93,2025-01-03,7,3,480.0,378.3,300.0,750,730
94,2025-01-03,8,1,480.0,410.4,353.4,922,904
95,2025-01-03,8,2,480.0,434.9,365.3,953,928
96,2025-01-03,8,3,480.0,330.0,262.6,685,671
97,2025-01-03,9,1,480.0,472.3,431.6,1363,1335
98,2025-01-03,9,2,480.0,400.4,366.7,1158,1136
99,2025-01-03,9,3,480.0,466.1,406.6,1284,1266
100,2025-01-03,10,1,480.0,435.2,376.5,1506,1475
101,2025-01-03,10,2,480.0,449.0,381.5,1526,1496
102,2025-01-03,10,3,480.0,465.5,392.0,1568,1538
103,2025-01-03,11,1,480.0,403.6,352.3,1208,1176
104,2025-01-03,11,2,480.0,416.1,357.0,1224,1198
105,2025-01-03,11,3,480.0,426.2,346.8,1189,1167
106,2025-01-03,12,1,480.0,352.7,310.9,1166,1161
107,2025-01-03,12,2,480.0,461.4,392.0,1470,1460
108,2025-01-03,12,3,447.8,391.7,330.9,1241,1235
109,2025-01-04,1,1,480.0,456.0,404.4,2022,1996
110,2025-01-04,1,2,480.0,480.0,433.8,2169,2138
111,2025-01-04,1,3,480.0,452.1,389.6,1948,1915
112,2025-01-04,2,1,480.0,408.9,356.8,1784,1771
113,2025-01-04,2,2,480.0,403.2,361.4,1807,1770
114,2025-01-04,2,3,480.0,444.2,379.2,1896,1864
115,2025-01-04,3,1,480.0,447.7,375.1,1667,1634
116,2025-01-04,3,2,480.0,382.6,307.8,1368,1339
117,2025-01-04,3,3,480.0,410.3,324.9,1444,1418
118,2025-01-04,4,1,480.0,462.3,406.8,2569,2544
119,2025-01-04,4,2,480.0,464.9,420.4,2655,2621
120,2025-01-04,4,3,480.0,461.7,405.5,2561,2529
121,2025-01-04,5,1,480.0,429.1,365.4,1044,1024
122,2025-01-04,5,2,480.0,397.1,349.3,998,983
123,2025-01-04,5,3,480.0,374.3,314.6,899,883
124,2025-01-04,6,1,480.0,425.1,365.1,1043,1022
125,2025-01-04,6,2,480.0,331.2,275.1,786,774
126,2025-01-04,6,3,480.0,424.9,344.8,985,967
127,2025-01-04,7,1,480.0,355.9,299.6,749,726
128,2025-01-04,7,2,480.0,451.7,367.6,919,898
129,2025-01-04,7,3,480.0,448.5,357.6,894,873
130,2025-01-04,8,1,480.0,456.5,398.7,1040,1013
131,2025-01-04,8,2,480.0,362.2,306.7,800,786
132,2025-01-04,8,3,480.0,411.1,340.0,887,864
133,2025-01-04,9,1,480.0,445.0,402.2,1270,1254
134,2025-01-04,9,2,480.0,417.2,388.9,1228,1215
135,2025-01-04,9,3,480.0,403.8,343.3,1084,1077
136,2025-01-04,10,1,480.0,406.1,362.5,1450,1423
137,2025-01-04,10,2,480.0,449.2,390.5,1562,1541
138,2025-01-04,10,3,480.0,469.2,393.2,1573,1552
139,2025-01-04,11,1,480.0,417.8,348.0,1193,1166
140,2025-01-04,11,2,480.0,442.8,373.9,1282,1247
141,2025-01-04,11,3,480.0,330.4,260.5,893,867
142,2025-01-04,12,1,480.0,389.7,360.0,1350,1334
143,2025-01-04,12,2,480.0,466.6,395.2,1482,1463
144,2025-01-04,12,3,480.0,419.9,356.5,1337,1315
145,2025-01-05,1,1,480.0,361.0,327.2,1636,1629
146,2025-01-05,1,2,480.0,452.0,403.6,2018,1988
147,2025-01-05,1,3,480.0,418.4,371.4,1857,1842
148,2025-01-05,2,1,480.0,467.0,408.8,2044,2015
149,2025-01-05,2,2,480.0,436.5,388.6,1943,1920
150,2025-01-05,2,3,480.0,410.2,346.4,1732,1705
151,2025-01-05,3,1,480.0,391.5,328.1,1458,1427
152,2025-01-05,3,2,480.0,397.2,328.5,1460,1426
153,2025-01-05,3,3,480.0,363.3,298.4,1326,1294
154,2025-01-05,4,1,480.0,480.0,424.5,2681,2648
155,2025-01-05,4,2,480.0,377.9,341.7,2158,2127
156,2025-01-05,4,3,480.0,469.5,405.8,2563,2533
157,2025-01-05,5,1,480.0,430.7,374.1,1069,1047
158,2025-01-05,5,2,480.0,444.2,380.4,1087,1065
159,2025-01-05,5,3,480.0,421.2,343.4,981,963
160,2025-01-05,6,1,480.0,327.4,271.9,777,763
161,2025-01-05,6,2,480.0,363.3,303.1,866,858
162,2025-01-05,6,3,480.0,339.4,287.4,821,804
163,2025-01-05,7,1,480.0,322.7,264.4,661,641
164,2025-01-05,7,2,480.0,393.9,328.0,820,793
165,2025-01-05,7,3,480.0,367.1,294.4,736,719
166,2025-01-05,8,1,480.0,453.2,392.1,1023,1000
167,2025-01-05,8,2,480.0,383.4,333.1,869,852
168,2025-01-05,8,3,480.0,434.4,356.1,929,909
169,2025-01-05,9,1,480.0,425.1,388.6,1227,1207
170,2025-01-05,9,2,480.0,480.0,428.4,1353,1337
171,2025-01-05,9,3,480.0,403.3,349.6,1104,1094
172,2025-01-05,10,1,480.0,401.0,351.5,1406,1384
173,2025-01-05,10,2,480.0,468.6,403.2,1613,1587
174,2025-01-05,10,3,480.0,400.5,340.2,1361,1337
175,2025-01-05,11,1,480.0,272.2,231.3,793,775
176,2025-01-05,11,2,480.0,448.7,384.1,1317,1292
177,2025-01-05,11,3,434.6,259.8,214.1,734,714
178,2025-01-05,12,1,480.0,406.1,349.3,1310,1304
179,2025-01-05,12,2,480.0,428.8,374.4,1404,1385
180,2025-01-05,12,3,480.0,417.0,366.1,1373,1349
181,2025-01-06,1,1,480.0,469.3,424.4,2122,2102
182,2025-01-06,1,2,480.0,465.2,428.0,2140,2132
183,2025-01-06,1,3,480.0,451.6,399.8,1999,1974
184,2025-01-06,2,1,480.0,480.0,418.2,2091,2043
185,2025-01-06,2,2,480.0,434.8,381.2,1906,1885
186,2025-01-06,2,3,480.0,448.2,370.8,1854,1832
187,2025-01-06,3,1,480.0,447.6,386.1,1716,1685
188,2025-01-06,3,2,480.0,352.3,286.2,1272,1248
189,2025-01-06,3,3,480.0,341.5,272.0,1209,1192
190,2025-01-06,4,1,480.0,381.3,338.8,2140,2112
191,2025-01-06,4,2,480.0,445.2,399.2,2521,2513
192,2025-01-06,4,3,480.0,470.8,405.5,2561,2533
193,2025-01-06,5,1,480.0,352.3,311.1,889,871
194,2025-01-06,5,2,480.0,383.4,327.2,935,916
195,2025-01-06,5,3,480.0,324.3,274.8,785,769
196,2025-01-06,6,1,480.0,416.7,351.1,1003,982
197,2025-01-06,6,2,480.0,398.5,339.5,970,945
198,2025-01-06,6,3,480.0,463.3,377.3,1078,1057
199,2025-01-06,7,1,480.0,368.5,293.6,734,712
200,2025-01-06,7,2,480.0,425.0,350.0,875,852
201,2025-01-06,7,3,480.0,416.9,321.6,804,791
202,2025-01-06,8,1,480.0,450.5,387.6,1011,990
203,2025-01-06,8,2,480.0,407.1,343.9,897,879
204,2025-01-06,8,3,480.0,360.7,294.8,769,755
205,2025-01-06,9,1,480.0,405.2,360.7,1139,1126
206,2025-01-06,9,2,480.0,479.3,438.9,1386,1367
207,2025-01-06,9,3,480.0,454.8,400.6,1265,1251
208,2025-01-06,10,1,480.0,350.3,314.5,1258,1239
209,2025-01-06,10,2,480.0,455.5,393.8,1575,1554
210,2025-01-06,10,3,480.0,362.8,295.8,1183,1162
211,2025-01-06,11,1,480.0,419.7,353.5,1212,1187
212,2025-01-06,11,2,480.0,381.1,334.8,1148,1120
213,2025-01-06,11,3,480.0,409.1,337.2,1156,1134
214,2025-01-06,12,1,480.0,446.7,402.7,1510,1486
215,2025-01-06,12,2,480.0,379.9,341.3,1280,1268
216,2025-01-06,12,3,480.0,480.0,414.4,1554,1543
217,2025-01-07,1,1,480.0,409.1,357.0,1785,1777
218,2025-01-07,1,2,480.0,399.9,361.8,1809,1789
219,2025-01-07,1,3,480.0,456.5,390.0,1950,1923
220,2025-01-07,2,1,480.0,449.7,398.2,1991,1969
221,2025-01-07,2,2,480.0,480.0,416.0,2080,2054
222,2025-01-07,2,3,480.0,480.0,408.2,2041,2016
223,2025-01-07,3,1,480.0,260.5,218.9,973,950
224,2025-01-07,3,2,480.0,265.1,228.8,1017,993
225,2025-01-07,3,3,480.0,391.8,308.7,1372,1346
226,2025-01-07,4,1,480.0,329.0,297.8,1881,1859
227,2025-01-07,4,2,480.0,453.8,409.6,2587,2570
228,2025-01-07,4,3,480.0,445.3,386.0,2438,2407
229,2025-01-07,5,1,480.0,401.2,347.2,992,974
230,2025-01-07,5,2,480.0,467.9,399.0,1140,1125
231,2025-01-07,5,3,480.0,412.4,345.4,987,966
232,2025-01-07,6,1,480.0,387.8,327.6,936,916
233,2025-01-07,6,2,480.0,406.6,351.1,1003,984
234,2025-01-07,6,3,480.0,353.5,292.2,835,822
235,2025-01-07,7,1,480.0,320.2,259.6,649,638
236,2025-01-07,7,2,480.0,370.1,303.2,758,740
237,2025-01-07,7,3,480.0,333.3,268.4,671,657
238,2025-01-07,8,1,480.0,363.1,306.7,800,787
239,2025-01-07,8,2,480.0,456.3,386.8,1009,994
240,2025-01-07,8,3,480.0,419.0,337.7,881,874
241,2025-01-07,9,1,480.0,459.9,418.9,1323,1312
242,2025-01-07,9,2,480.0,472.1,422.1,1333,1319
243,2025-01-07,9,3,480.0,437.3,378.4,1195,1178
244,2025-01-07,10,1,480.0,410.4,354.5,1418,1404
245,2025-01-07,10,2,480.0,295.8,268.5,1074,1060
246,2025-01-07,10,3,480.0,392.3,332.0,1328,1299
247,2025-01-07,11,1,480.0,329.3,296.9,1018,996
248,2025-01-07,11,2,480.0,381.6,321.7,1103,1074
249,2025-01-07,11,3,439.8,125.1,103.2,354,345
250,2025-01-07,12,1,480.0,480.0,446.9,1676,1647
251,2025-01-07,12,2,480.0,403.8,353.1,1324,1310
252,2025-01-07,12,3,480.0,480.0,393.1,1474,1457
253,2025-01-08,1,1,480.0,391.6,351.2,1756,1747
254,2025-01-08,1,2,480.0,451.7,398.0,1990,1966
255,2025-01-08,1,3,480.0,445.8,383.4,1917,1896
256,2025-01-08,2,1,480.0,420.0,362.0,1810,1786
257,2025-01-08,2,2,480.0,422.6,362.2,1811,1791
258,2025-01-08,2,3,480.0,449.8,380.2,1901,1885
259,2025-01-08,3,1,480.0,313.1,266.4,1184,1165
260,2025-01-08,3,2,480.0,423.2,343.8,1528,1496
261,2025-01-08,3,3,480.0,405.6,322.9,1435,1412
262,2025-01-08,4,1,480.0,469.2,415.6,2625,2601
263,2025-01-08,4,2,480.0,459.9,416.3,2629,2599
264,2025-01-08,4,3,480.0,415.3,365.4,2308,2285
265,2025-01-08,5,1,480.0,480.0,406.4,1161,1145
266,2025-01-08,5,2,480.0,455.9,392.4,1121,1099
267,2025-01-08,5,3,480.0,384.5,313.6,896,880
268,2025-01-08,6,1,480.0,412.1,352.4,1007,987
269,2025-01-08,6,2,480.0,463.1,397.2,1135,1108
270,2025-01-08,6,3,480.0,431.3,364.7,1042,1018
271,2025-01-08,7,1,480.0,352.8,288.8,722,708
272,2025-01-08,7,2,480.0,321.1,265.6,664,647
273,2025-01-08,7,3,480.0,249.1,199.6,499,486
274,2025-01-08,8,1,480.0,365.3,311.3,812,794
275,2025-01-08,8,2,480.0,364.3,321.2,838,821
276,2025-01-08,8,3,480.0,440.1,366.5,956,935
277,2025-01-08,9,1,480.0,442.4,396.1,1251,1239
278,2025-01-08,9,2,480.0,400.5,357.8,1130,1119
279,2025-01-08,9,3,480.0,479.2,419.6,1325,1303
280,2025-01-08,10,1,480.0,480.0,429.2,1717,1687
281,2025-01-08,10,2,480.0,420.2,363.5,1454,1440
282,2025-01-08,10,3,480.0,415.3,345.2,1381,1354
283,2025-01-08,11,1,480.0,419.4,353.8,1213,1185
284,2025-01-08,11,2,480.0,393.1,338.6,1161,1140
285,2025-01-08,11,3,480.0,323.2,270.1,926,907
286,2025-01-08,12,1,480.0,404.2,349.6,1311,1297
287,2025-01-08,12,2,480.0,474.1,421.9,1582,1555
288,2025-01-08,12,3,480.0,365.1,301.9,1132,1124
289,2025-01-09,1,1,480.0,473.3,418.2,2091,2066
290,2025-01-09,1,2,480.0,442.2,396.4,1982,1964
291,2025-01-09,1,3,480.0,480.0,416.2,2081,2054
292,2025-01-09,2,1,480.0,399.7,345.8,1729,1697
293,2025-01-09,2,2,480.0,450.4,391.0,1955,1924
294,2025-01-09,2,3,480.0,430.0,375.4,1877,1855
295,2025-01-09,3,1,480.0,416.7,350.3,1557,1524
296,2025-01-09,3,2,480.0,347.2,285.3,1268,1243
297,2025-01-09,3,3,480.0,396.5,321.1,1427,1399
298,2025-01-09,4,1,480.0,462.7,427.0,2697,2694
299,2025-01-09,4,2,480.0,470.4,425.0,2684,2658
300,2025-01-09,4,3,452.8,357.2,310.2,1959,1945
301,2025-01-09,5,1,480.0,419.5,365.8,1045,1030
302,2025-01-09,5,2,480.0,480.0,404.9,1157,1143
303,2025-01-09,5,3,480.0,440.7,375.2,1072,1052
304,2025-01-09,6,1,480.0,382.2,327.9,937,914
305,2025-01-09,6,2,480.0,388.3,316.4,904,888
306,2025-01-09,6,3,480.0,433.7,364.4,1041,1025
307,2025-01-09,7,1,480.0,404.6,333.2,833,817
308,2025-01-09,7,2,480.0,368.3,303.6,759,742
309,2025-01-09,7,3,480.0,346.0,284.4,711,693
310,2025-01-09,8,1,480.0,371.8,322.8,842,826
311,2025-01-09,8,2,480.0,433.9,374.1,976,953
312,2025-01-09,8,3,480.0,347.6,286.0,746,733
313,2025-01-09,9,1,480.0,458.1,406.0,1282,1267
314,2025-01-09,9,2,480.0,405.6,359.1,1134,1121
315,2025-01-09,9,3,454.5,454.5,400.3,1264,1250
316,2025-01-09,10,1,480.0,380.6,335.2,1341,1315
317,2025-01-09,10,2,480.0,464.0,416.2,1665,1640
318,2025-01-09,10,3,480.0,456.2,386.0,1544,1531
319,2025-01-09,11,1,480.0,379.2,331.0,1135,1110
320,2025-01-09,11,2,480.0,450.0,390.2,1338,1305
321,2025-01-09,11,3,480.0,250.0,205.3,704,691
322,2025-01-09,12,1,480.0,437.9,383.5,1438,1420
323,2025-01-09,12,2,480.0,455.6,397.1,1489,1462
324,2025-01-09,12,3,480.0,474.7,397.9,1492,1478
325,2025-01-10,1,1,272.8,180.8,162.4,812,801
326,2025-01-10,1,2,480.0,408.3,345.2,1726,1702
327,2025-01-10,1,3,480.0,347.4,305.6,1528,1508
328,2025-01-10,2,1,480.0,463.5,402.8,2014,1973
329,2025-01-10,2,2,480.0,373.6,326.8,1634,1600
330,2025-01-10,2,3,480.0,453.1,387.0,1935,1911
331,2025-01-10,3,1,480.0,452.9,381.6,1696,1668
332,2025-01-10,3,2,480.0,398.5,339.8,1510,1475
333,2025-01-10,3,3,480.0,378.8,313.4,1393,1363
334,2025-01-10,4,1,480.0,480.0,427.0,2697,2649
335,2025-01-10,4,2,480.0,444.9,406.3,2566,2547
336,2025-01-10,4,3,480.0,465.1,405.0,2558,2512
337,2025-01-10,5,1,480.0,470.6,392.0,1120,1093
338,2025-01-10,5,2,480.0,443.4,378.7,1082,1063
339,2025-01-10,5,3,444.8,363.8,310.4,887,872
340,2025-01-10,6,1,480.0,460.1,384.6,1099,1078
341,2025-01-10,6,2,480.0,280.5,240.4,687,670
342,2025-01-10,6,3,480.0,361.6,303.8,868,846
343,2025-01-10,7,1,480.0,440.5,354.0,885,858
344,2025-01-10,7,2,480.0,441.7,366.8,917,886
345,2025-01-10,7,3,480.0,351.9,280.0,700,680
346,2025-01-10,8,1,480.0,399.1,346.9,905,883
347,2025-01-10,8,2,480.0,385.8,329.3,859,838
348,2025-01-10,8,3,480.0,394.5,334.3,872,844
349,2025-01-10,9,1,480.0,398.9,363.2,1147,1129
350,2025-01-10,9,2,480.0,465.9,437.0,1380,1367
351,2025-01-10,9,3,480.0,480.0,393.3,1242,1225
352,2025-01-10,10,1,480.0,465.7,399.8,1599,1587
353,2025-01-10,10,2,480.0,470.6,398.2,1593,1560
354,2025-01-10,10,3,480.0,373.8,319.0,1276,1259
355,2025-01-10,11,1,480.0,417.9,355.5,1219,1184
356,2025-01-10,11,2,480.0,439.6,373.0,1279,1251
357,2025-01-10,11,3,480.0,392.6,336.9,1155,1133
358,2025-01-10,12,1,480.0,468.5,405.1,1519,1499
359,2025-01-10,12,2,480.0,480.0,419.7,1574,1556
360,2025-01-10,12,3,480.0,412.6,354.9,1331,1313
361,2025-01-11,1,1,480.0,462.7,421.8,2109,2091
362,2025-01-11,1,2,480.0,380.8,344.8,1724,1706
363,2025-01-11,1,3,480.0,414.0,360.4,1802,1792
364,2025-01-11,2,1,480.0,430.7,372.4,1862,1845
365,2025-01-11,2,2,480.0,236.5,208.2,1041,1029
366,2025-01-11,2,3,480.0,454.0,377.6,1888,1852
367,2025-01-11,3,1,480.0,457.0,372.4,1655,1620
368,2025-01-11,3,2,480.0,416.1,343.8,1528,1492
369,2025-01-11,3,3,480.0,383.9,298.8,1328,1298
370,2025-01-11,4,1,480.0,480.0,432.7,2733,2688
371,2025-01-11,4,2,480.0,462.9,424.8,2683,2658
372,2025-01-11,4,3,480.0,367.1,324.9,2052,2032
373,2025-01-11,5,1,480.0,370.7,323.1,923,903
374,2025-01-11,5,2,480.0,333.3,297.1,849,829
375,2025-01-11,5,3,480.0,413.1,345.4,987,974
376,2025-01-11,6,1,480.0,445.0,371.7,1062,1037
377,2025-01-11,6,2,480.0,428.4,378.4,1081,1065
378,2025-01-11,6,3,480.0,292.5,238.7,682,662
379,2025-01-11,7,1,480.0,385.4,316.0,790,769
380,2025-01-11,7,2,480.0,421.5,347.2,868,839
381,2025-01-11,7,3,480.0,278.3,224.0,560,545
382,2025-01-11,8,1,480.0,399.9,345.0,900,879
383,2025-01-11,8,2,480.0,410.4,354.2,924,902
384,2025-01-11,8,3,480.0,397.4,327.0,853,837
385,2025-01-11,9,1,480.0,450.3,403.4,1274,1263
386,2025-01-11,9,2,480.0,441.3,390.4,1233,1208
387,2025-01-11,9,3,480.0,459.5,402.8,1272,1254
388,2025-01-11,10,1,480.0,335.9,307.0,1228,1215
389,2025-01-11,10,2,480.0,444.1,387.8,1551,1524
390,2025-01-11,10,3,480.0,372.0,308.2,1233,1215
391,2025-01-11,11,1,480.0,435.1,365.5,1253,1222
392,2025-01-11,11,2,480.0,453.9,382.4,1311,1278
393,2025-01-11,11,3,480.0,421.2,346.5,1188,1165
394,2025-01-11,12,1,480.0,444.8,391.7,1469,1441
395,2025-01-11,12,2,480.0,467.1,420.3,1576,1556
396,2025-01-11,12,3,480.0,447.8,377.9,1417,1404
397,2025-01-12,1,1,480.0,456.1,406.8,2034,2022
398,2025-01-12,1,2,480.0,349.7,306.4,1532,1518
399,2025-01-12,1,3,480.0,415.9,362.0,1810,1786
400,2025-01-12,2,1,480.0,431.9,373.6,1868,1832
401,2025-01-12,2,2,480.0,395.8,335.8,1679,1648
402,2025-01-12,2,3,480.0,375.3,319.8,1599,1589
403,2025-01-12,3,1,480.0,347.3,294.8,1310,1287
404,2025-01-12,3,2,480.0,422.4,352.1,1565,1531
405,2025-01-12,3,3,480.0,309.7,246.4,1095,1067
406,2025-01-12,4,1,480.0,421.3,370.0,2337,2303
407,2025-01-12,4,2,480.0,452.7,406.8,2569,2531
408,2025-01-12,4,3,480.0,376.2,329.8,2083,2059
409,2025-01-12,5,1,480.0,415.0,353.9,1011,989
410,2025-01-12,5,2,480.0,473.2,418.6,1196,1172
411,2025-01-12,5,3,480.0,439.1,366.1,1046,1026
412,2025-01-12,6,1,480.0,451.1,398.3,1138,1115
413,2025-01-12,6,2,480.0,419.1,363.3,1038,1024
414,2025-01-12,6,3,480.0,460.6,380.4,1087,1063
415,2025-01-12,7,1,480.0,323.8,266.8,667,651
416,2025-01-12,7,2,480.0,394.4,328.8,822,802
417,2025-01-12,7,3,480.0,278.5,214.4,536,522
418,2025-01-12,8,1,480.0,410.4,344.2,898,884
419,2025-01-12,8,2,480.0,368.4,310.9,811,798
420,2025-01-12,8,3,480.0,420.1,337.7,881,866
421,2025-01-12,9,1,480.0,474.3,425.9,1345,1330
422,2025-01-12,9,2,480.0,449.3,392.7,1240,1216
423,2025-01-12,9,3,480.0,366.7,307.2,970,960
424,2025-01-12,10,1,480.0,437.2,379.0,1516,1474
425,2025-01-12,10,2,480.0,414.3,351.5,1406,1375
426,2025-01-12,10,3,480.0,235.1,194.5,778,765
427,2025-01-12,11,1,480.0,386.8,334.5,1147,1127
428,2025-01-12,11,2,480.0,431.4,371.0,1272,1244
429,2025-01-12,11,3,446.9,160.4,131.0,449,437
430,2025-01-12,12,1,480.0,388.4,344.3,1291,1276
431,2025-01-12,12,2,480.0,450.5,398.9,1496,1463
432,2025-01-12,12,3,480.0,365.0,318.4,1194,1172
433,2025-01-13,1,1,480.0,427.3,369.6,1848,1828
434,2025-01-13,1,2,480.0,368.9,324.0,1620,1589
435,2025-01-13,1,3,480.0,392.7,338.0,1690,1680
436,2025-01-13,2,1,480.0,372.3,333.0,1665,1637
437,2025-01-13,2,2,480.0,382.3,324.4,1622,1598
438,2025-01-13,2,3,480.0,435.3,365.0,1825,1808
439,2025-01-13,3,1,480.0,345.7,285.5,1269,1235
440,2025-01-13,3,2,480.0,381.7,315.7,1403,1374
441,2025-01-13,3,3,457.1,288.7,230.2,1023,1002
442,2025-01-13,4,1,480.0,480.0,444.0,2804,2788
443,2025-01-13,4,2,480.0,382.6,361.6,2284,2261
444,2025-01-13,4,3,480.0,383.8,336.8,2127,2112
445,2025-01-13,5,1,480.0,455.4,400.4,1144,1122
446,2025-01-13,5,2,480.0,480.0,412.3,1178,1155
447,2025-01-13,5,3,480.0,432.1,361.6,1033,1014
448,2025-01-13,6,1,480.0,453.9,381.9,1091,1069
449,2025-01-13,6,2,480.0,415.5,339.9,971,950
450,2025-01-13,6,3,480.0,436.8,364.7,1042,1020
451,2025-01-13,7,1,480.0,347.7,280.0,700,681
452,2025-01-13,7,2,480.0,456.3,378.8,947,920
453,2025-01-13,7,3,480.0,367.6,291.2,728,716
454,2025-01-13,8,1,480.0,480.0,404.4,1055,1036
455,2025-01-13,8,2,480.0,389.2,328.5,857,839
456,2025-01-13,8,3,480.0,413.2,338.9,884,872
