TimesheetKey,Week Start Date,EmployeeKey,ProjectKey,WorkLocationKey,Hours,Is Billable,Revenue,Cost
112,2024-11-18,1,1,1,25.2,True,2633.4,1184.9
113,2024-11-18,1,4,1,9.4,False,0.0,441.99
114,2024-11-25,1,27,3,18.9,True,1975.05,888.68
115,2024-11-25,1,26,3,12.5,True,1306.25,587.75
116,2024-11-25,1,4,3,5.5,False,0.0,258.61
117,2024-12-02,1,18,2,20.1,True,2100.45,945.1
118,2024-12-02,1,4,2,7.8,False,0.0,366.76
119,2024-12-09,1,20,2,23.4,True,2445.3,1100.27
120,2024-12-09,1,4,2,5.7,False,0.0,268.01
121,2024-12-16,1,6,2,27.1,True,2831.95,1274.24
122,2024-12-16,1,4,2,5.7,False,0.0,268.01
123,2024-12-23,1,18,2,12.7,True,1327.15,597.15
124,2024-12-23,1,26,2,9.7,True,1013.65,456.09
125,2024-12-23,1,4,2,8.1,False,0.0,380.86
126,2024-12-30,1,27,2,10.1,True,1055.45,474.9
127,2024-12-30,1,18,2,7.4,True,773.3,347.95
128,2024-12-30,1,4,2,8.5,False,0.0,399.67
129,2025-01-06,1,20,2,23.0,True,2403.5,1081.46
130,2025-01-06,1,4,2,10.8,False,0.0,507.82
131,2025-01-13,1,27,3,26.5,True,2769.25,1246.03
132,2025-01-13,1,26,3,3.5,True,365.75,164.57
133,2025-01-13,1,4,3,3.4,False,0.0,159.87
134,2025-01-20,1,6,2,27.4,True,2863.3,1288.35
135,2025-01-20,1,4,2,7.4,False,0.0,347.95
136,2025-01-27,1,1,1,17.2,True,1797.4,808.74
137,2025-01-27,1,3,1,11.1,True,1159.95,521.92
138,2025-01-27,1,4,1,5.9,False,0.0,277.42
139,2025-02-03,1,3,2,7.2,True,752.4,338.54
140,2025-02-03,1,6,2,21.1,True,2204.95,992.12
141,2025-02-03,1,4,2,8.1,False,0.0,380.86
142,2025-02-10,1,6,2,23.1,True,2413.95,1086.16
143,2025-02-10,1,3,2,7.8,True,815.1,366.76
144,2025-02-10,1,4,2,7.6,False,0.0,357.35
145,2025-02-17,1,18,2,23.2,True,2424.4,1090.86
146,2025-02-17,1,27,2,4.4,True,459.8,206.89
147,2025-02-17,1,4,2,8.3,False,0.0,390.27
148,2025-02-24,1,26,3,30.8,True,3218.6,1448.22
149,2025-02-24,1,4,3,7.6,False,0.0,357.35
150,2025-03-03,1,2,2,29.2,True,3051.4,1372.98
151,2025-03-03,1,4,2,5.5,False,0.0,258.61
152,2025-03-10,1,3,2,29.9,True,3124.55,1405.9
153,2025-03-10,1,4,2,6.6,False,0.0,310.33
154,2025-03-17,1,18,1,4.3,True,449.35,202.19
155,2025-03-17,1,20,1,22.5,True,2351.25,1057.95
156,2025-03-17,1,4,1,9.1,False,0.0,427.88
157,2025-03-24,1,2,2,28.8,True,3009.6,1354.18
158,2025-03-24,1,4,2,7.3,False,0.0,343.25
159,2025-03-31,1,18,2,25.8,True,2696.1,1213.12
160,2025-03-31,1,4,2,11.4,False,0.0,536.03
161,2025-04-07,1,18,1,27.7,True,2894.65,1302.45
162,2025-04-07,1,4,1,11.7,False,0.0,550.13
163,2025-04-14,1,6,2,26.0,True,2717.0,1222.52
164,2025-04-14,1,4,2,7.6,False,0.0,357.35
165,2025-04-21,1,20,2,26.1,True,2727.45,1227.22
166,2025-04-21,1,4,2,7.3,False,0.0,343.25
167,2025-04-28,1,27,2,23.7,True,2476.65,1114.37
168,2025-04-28,1,26,2,3.9,True,407.55,183.38
169,2025-04-28,1,4,2,7.0,False,0.0,329.14
170,2025-05-05,1,27,2,0.9,True,94.05,42.32
171,2025-05-05,1,18,2,22.6,True,2361.7,1062.65
172,2025-05-05,1,4,2,12.4,False,0.0,583.05
173,2025-05-12,1,26,2,25.5,True,2664.75,1199.01
174,2025-05-12,1,4,2,9.0,False,0.0,423.18
175,2025-05-19,1,6,3,19.4,True,2027.3,912.19
176,2025-05-19,1,1,3,7.0,True,731.5,329.14
177,2025-05-19,1,4,3,11.2,False,0.0,526.62
178,2025-05-26,1,27,2,12.5,True,1306.25,587.75
179,2025-05-26,1,20,2,21.8,True,2278.1,1025.04
180,2025-05-26,1,4,2,2.4,False,0.0,112.85
181,2025-06-02,1,2,2,18.7,True,1954.15,879.27
182,2025-06-02,1,4,2,9.8,False,0.0,460.8
183,2025-06-09,1,26,2,31.8,True,3323.1,1495.24
184,2025-06-09,1,4,2,3.6,False,0.0,169.27
185,2025-06-16,1,20,2,24.4,True,2549.8,1147.29
186,2025-06-16,1,4,2,7.2,False,0.0,338.54
187,2025-06-23,1,3,2,14.7,True,1536.15,691.19
188,2025-06-23,1,2,2,6.9,True,721.05,324.44
189,2025-06-23,1,4,2,11.0,False,0.0,517.22
190,2025-06-30,1,6,1,4.4,True,459.8,206.89
191,2025-06-30,1,1,1,26.5,True,2769.25,1246.03
192,2025-06-30,1,4,1,4.6,False,0.0,216.29
193,2025-07-07,1,2,2,14.3,True,1494.35,672.39
194,2025-07-07,1,4,2,5.9,False,0.0,277.42
195,2025-07-14,1,18,2,17.1,True,1786.95,804.04
196,2025-07-14,1,4,2,2.9,False,0.0,136.36
197,2025-07-21,1,3,2,12.9,True,1348.05,606.56
198,2025-07-21,1,4,2,6.1,False,0.0,286.82
199,2025-07-28,1,1,2,14.6,True,1525.7,686.49
200,2025-07-28,1,4,2,4.4,False,0.0,206.89
201,2025-08-04,1,18,2,25.6,True,2675.2,1203.71
202,2025-08-04,1,4,2,2.4,False,0.0,112.85
203,2025-08-11,1,20,2,24.5,True,2560.25,1151.99
204,2025-08-11,1,4,2,9.1,False,0.0,427.88
205,2025-08-18,1,2,1,10.5,True,1097.25,493.71
206,2025-08-18,1,20,1,11.3,True,1180.85,531.33
207,2025-08-18,1,4,1,10.3,False,0.0,484.31
208,2025-08-25,1,2,2,21.4,True,2236.3,1006.23
209,2025-08-25,1,4,2,9.7,False,0.0,456.09
210,2025-09-01,1,2,1,30.4,True,3176.8,1429.41
211,2025-09-01,1,4,1,4.4,False,0.0,206.89
212,2025-09-08,1,1,1,4.2,True,438.9,197.48
213,2025-09-08,1,27,1,26.6,True,2779.7,1250.73
214,2025-09-08,1,4,1,9.5,False,0.0,446.69
215,2025-09-15,1,20,2,27.9,True,2915.55,1311.86
216,2025-09-15,1,4,2,8.7,False,0.0,409.07
217,2025-09-22,1,26,2,14.3,True,1494.35,672.39
218,2025-09-22,1,18,2,13.1,True,1368.95,615.96
219,2025-09-22,1,4,2,11.1,False,0.0,521.92
220,2025-09-29,1,3,1,25.6,True,2675.2,1203.71
221,2025-09-29,1,6,1,0.7,True,73.15,32.91
222,2025-09-29,1,4,1,9.6,False,0.0,451.39
223,2025-10-06,1,1,1,26.5,True,2769.25,1246.03
224,2025-10-06,1,4,1,12.3,False,0.0,578.35
225,2025-10-13,1,20,2,25.4,True,2654.3,1194.31
226,2025-10-13,1,4,2,11.9,False,0.0,559.54
227,2025-10-20,1,18,2,3.0,True,313.5,141.06
228,2025-10-20,1,2,2,22.6,True,2361.7,1062.65
229,2025-10-20,1,4,2,9.7,False,0.0,456.09
230,2025-10-27,1,1,1,31.7,True,3312.65,1490.53
231,2025-10-27,1,4,1,3.8,False,0.0,178.68
232,2025-11-03,1,2,2,12.5,True,1306.25,587.75
233,2025-11-03,1,6,2,10.8,True,1128.6,507.82
234,2025-11-03,1,4,2,9.9,False,0.0,465.5
235,2025-11-10,1,20,2,17.0,True,1776.5,799.34
236,2025-11-10,1,3,2,3.8,True,397.1,178.68
237,2025-11-10,1,4,2,13.2,False,0.0,620.66
238,2025-11-17,1,1,1,29.9,True,3124.55,1405.9
239,2025-11-17,1,4,1,6.3,False,0.0,296.23
240,2025-11-24,1,2,2,7.0,True,731.5,329.14
241,2025-11-24,1,6,2,21.6,True,2257.2,1015.63
242,2025-11-24,1,4,2,6.8,False,0.0,319.74
243,2025-12-01,1,3,2,19.8,True,2069.1,931.0
244,2025-12-01,1,4,2,9.3,False,0.0,437.29
245,2025-12-08,1,1,1,4.2,True,438.9,197.48
246,2025-12-08,1,3,1,18.7,True,1954.15,879.27
247,2025-12-08,1,4,1,5.0,False,0.0,235.1
248,2025-12-15,1,6,2,17.2,True,1797.4,808.74
249,2025-12-15,1,20,2,5.1,True,532.95,239.8
250,2025-12-15,1,4,2,6.6,False,0.0,310.33
251,2025-12-22,1,18,1,17.9,True,1870.55,841.66
252,2025-12-22,1,4,1,10.9,False,0.0,512.52
253,2025-12-29,1,18,2,22.5,True,2351.25,1057.95
254,2025-12-29,1,4,2,6.3,False,0.0,296.23
255,2024-01-01,2,9,2,21.0,True,3139.5,1412.88
256,2024-01-01,2,30,2,16.7,False,0.0,1123.58
257,2024-01-08,2,28,3,0.6,True,89.7,40.37
258,2024-01-08,2,7,3,19.5,True,2915.25,1311.96
259,2024-01-08,2,30,3,13.1,False,0.0,881.37
260,2024-01-15,2,28,1,15.0,True,2242.5,1009.2
261,2024-01-15,2,30,1,16.8,False,0.0,1130.3
262,2024-01-22,2,13,2,17.8,True,2661.1,1197.58
263,2024-01-22,2,30,2,14.9,False,0.0,1002.47
264,2024-01-29,2,28,1,20.7,True,3094.65,1392.7
265,2024-01-29,2,30,1,15.8,False,0.0,1063.02
266,2024-02-05,2,28,1,21.1,True,3154.45,1419.61
267,2024-02-05,2,30,1,19.3,False,0.0,1298.5
268,2024-02-12,2,7,2,20.9,True,3124.55,1406.15
269,2024-02-12,2,30,2,16.6,False,0.0,1116.85
270,2024-02-19,2,7,2,16.7,True,2496.65,1123.58
271,2024-02-19,2,30,2,16.8,False,0.0,1130.3
272,2024-02-26,2,7,2,20.6,True,3079.7,1385.97
273,2024-02-26,2,30,2,20.6,False,0.0,1385.97
274,2024-03-04,2,28,2,22.1,True,3303.95,1486.89
275,2024-03-04,2,30,2,15.3,False,0.0,1029.38
276,2024-03-11,2,28,1,20.9,True,3124.55,1406.15
277,2024-03-11,2,30,1,15.4,False,0.0,1036.11
278,2024-03-18,2,13,2,16.3,True,2436.85,1096.66
279,2024-03-18,2,30,2,16.7,False,0.0,1123.58
280,2024-03-25,2,9,2,15.8,True,2362.1,1063.02
281,2024-03-25,2,30,2,20.0,False,0.0,1345.6
282,2024-04-01,2,28,2,9.1,True,1360.45,612.25
283,2024-04-01,2,9,2,12.4,True,1853.8,834.27
284,2024-04-01,2,30,2,14.3,False,0.0,962.1
285,2024-04-08,2,13,1,7.0,True,1046.5,470.96
286,2024-04-08,2,28,1,8.1,True,1210.95,544.97
287,2024-04-08,2,30,1,18.0,False,0.0,1211.04
288,2024-04-15,2,13,2,18.3,True,2735.85,1231.22
289,2024-04-15,2,30,2,15.5,False,0.0,1042.84
290,2024-04-22,2,7,1,10.4,True,1554.8,699.71
291,2024-04-22,2,13,1,4.2,True,627.9,282.58
292,2024-04-22,2,30,1,21.4,False,0.0,1439.79
293,2024-04-29,2,9,2,19.8,True,2960.1,1332.14
294,2024-04-29,2,30,2,18.6,False,0.0,1251.41
295,2024-05-06,2,28,2,17.6,True,2631.2,1184.13
296,2024-05-06,2,30,2,19.8,False,0.0,1332.14
297,2024-05-13,2,9,2,19.3,True,2885.35,1298.5
298,2024-05-13,2,30,2,16.0,False,0.0,1076.48
299,2024-05-20,2,13,1,14.1,True,2107.95,948.65
300,2024-05-20,2,7,1,4.9,True,732.55,329.67
301,2024-05-20,2,30,1,16.4,False,0.0,1103.39
302,2024-05-27,2,13,2,19.2,True,2870.4,1291.78
303,2024-05-27,2,30,2,17.8,False,0.0,1197.58
304,2024-06-03,2,13,2,14.5,True,2167.75,975.56
305,2024-06-03,2,30,2,17.9,False,0.0,1204.31
306,2024-06-10,2,28,2,16.8,True,2511.6,1130.3
307,2024-06-10,2,30,2,16.9,False,0.0,1137.03
308,2024-06-17,2,28,1,15.1,True,2257.45,1015.93
309,2024-06-17,2,30,1,13.3,False,0.0,894.82
310,2024-06-24,2,7,3,15.6,True,2332.2,1049.57
311,2024-06-24,2,13,3,1.1,True,164.45,74.01
312,2024-06-24,2,30,3,13.1,False,0.0,881.37
313,2024-07-01,2,7,1,12.2,True,1823.9,820.82
314,2024-07-01,2,30,1,8.2,False,0.0,551.7
315,2024-07-08,2,9,1,11.9,True,1779.05,800.63
316,2024-07-08,2,30,1,7.9,False,0.0,531.51
317,2024-07-15,2,28,2,11.6,True,1734.2,780.45
318,2024-07-15,2,13,2,2.4,True,358.8,161.47
319,2024-07-15,2,30,2,6.6,False,0.0,444.05
320,2024-07-22,2,28,2,11.6,True,1734.2,780.45
321,2024-07-22,2,30,2,8.5,False,0.0,571.88
322,2024-07-29,2,28,2,10.8,True,1614.6,726.62
323,2024-07-29,2,30,2,8.8,False,0.0,592.06
324,2024-08-05,2,28,1,21.1,True,3154.45,1419.61
325,2024-08-05,2,30,1,14.1,False,0.0,948.65
326,2024-08-12,2,28,3,1.2,True,179.4,80.74
327,2024-08-12,2,13,3,16.0,True,2392.0,1076.48
328,2024-08-12,2,30,3,16.7,False,0.0,1123.58
329,2024-08-19,2,9,1,4.4,True,657.8,296.03
330,2024-08-19,2,28,1,18.2,True,2720.9,1224.5
331,2024-08-19,2,30,1,15.4,False,0.0,1036.11
332,2024-08-26,2,9,2,12.2,True,1823.9,820.82
333,2024-08-26,2,7,2,5.5,True,822.25,370.04
334,2024-08-26,2,30,2,15.9,False,0.0,1069.75
335,2024-09-02,2,7,1,17.5,True,2616.25,1177.4
336,2024-09-02,2,30,1,19.1,False,0.0,1285.05
337,2024-09-09,2,28,2,19.8,True,2960.1,1332.14
338,2024-09-09,2,30,2,22.2,False,0.0,1493.62
339,2024-09-16,2,7,2,17.8,True,2661.1,1197.58
340,2024-09-16,2,30,2,14.7,False,0.0,989.02
341,2024-09-23,2,13,2,19.6,True,2930.2,1318.69
342,2024-09-23,2,30,2,14.2,False,0.0,955.38
343,2024-09-30,2,28,2,17.8,True,2661.1,1197.58
344,2024-09-30,2,30,2,15.3,False,0.0,1029.38
345,2024-10-07,2,13,1,20.5,True,3064.75,1379.24
346,2024-10-07,2,9,1,1.6,True,239.2,107.65
347,2024-10-07,2,30,1,15.4,False,0.0,1036.11
348,2024-10-14,2,7,1,13.3,True,1988.35,894.82
349,2024-10-14,2,13,1,2.8,True,418.6,188.38
350,2024-10-14,2,30,1,21.3,False,0.0,1433.06
351,2024-10-21,2,9,2,20.2,True,3019.9,1359.06
352,2024-10-21,2,30,2,17.9,False,0.0,1204.31
353,2024-10-28,2,9,1,11.0,True,1644.5,740.08
354,2024-10-28,2,7,1,8.6,True,1285.7,578.61
355,2024-10-28,2,30,1,18.3,False,0.0,1231.22
356,2024-11-04,2,9,1,19.1,True,2855.45,1285.05
357,2024-11-04,2,30,1,12.5,False,0.0,841.0
358,2024-11-11,2,28,2,7.8,True,1166.1,524.78
359,2024-11-11,2,9,2,11.2,True,1674.4,753.54
360,2024-11-11,2,30,2,17.1,False,0.0,1150.49
361,2024-11-18,2,13,1,20.8,True,3109.6,1399.42
362,2024-11-18,2,30,1,18.8,False,0.0,1264.86
363,2024-11-25,2,9,1,23.9,True,3573.05,1607.99
364,2024-11-25,2,30,1,16.7,False,0.0,1123.58
365,2024-12-02,2,9,1,3.8,True,568.1,255.66
366,2024-12-02,2,7,1,10.7,True,1599.65,719.9
367,2024-12-02,2,30,1,12.0,False,0.0,807.36
368,2024-12-09,2,13,1,1.4,True,209.3,94.19
369,2024-12-09,2,7,1,15.1,True,2257.45,1015.93
370,2024-12-09,2,30,1,9.0,False,0.0,605.52
371,2024-12-16,2,7,2,16.7,True,2496.65,1123.58
372,2024-12-16,2,30,2,11.9,False,0.0,800.63
373,2024-12-23,2,7,2,15.5,True,2317.25,1042.84
374,2024-12-23,2,30,2,15.7,False,0.0,1056.3
375,2024-12-30,2,28,2,14.3,True,2137.85,962.1
376,2024-12-30,2,30,2,16.9,False,0.0,1137.03
377,2025-01-06,2,7,1,12.4,True,1853.8,834.27
378,2025-01-06,2,28,1,5.3,True,792.35,356.58
379,2025-01-06,2,30,1,14.9,False,0.0,1002.47
380,2025-01-13,2,9,2,19.4,True,2900.3,1305.23
381,2025-01-13,2,30,2,12.5,False,0.0,841.0
382,2025-01-20,2,9,2,19.6,True,2930.2,1318.69
383,2025-01-20,2,30,2,15.1,False,0.0,1015.93
384,2025-01-27,2,13,1,16.6,True,2481.7,1116.85
385,2025-01-27,2,30,1,19.0,False,0.0,1278.32
386,2025-02-03,2,13,2,14.1,True,2107.95,948.65
387,2025-02-03,2,30,2,18.3,False,0.0,1231.22
388,2025-02-10,2,13,2,17.6,True,2631.2,1184.13
389,2025-02-10,2,30,2,20.5,False,0.0,1379.24
390,2025-02-17,2,13,1,19.4,True,2900.3,1305.23
391,2025-02-17,2,30,1,16.4,False,0.0,1103.39
392,2025-02-24,2,13,2,18.8,True,2810.6,1264.86
393,2025-02-24,2,30,2,18.7,False,0.0,1258.14
394,2025-03-03,2,28,1,19.3,True,2885.35,1298.5
395,2025-03-03,2,30,1,14.3,False,0.0,962.1
396,2025-03-10,2,28,3,20.8,True,3109.6,1399.42
397,2025-03-10,2,30,3,15.0,False,0.0,1009.2
398,2025-03-17,2,28,2,14.5,True,2167.75,975.56
399,2025-03-17,2,9,2,2.3,True,343.85,154.74
400,2025-03-17,2,30,2,14.9,False,0.0,1002.47
401,2025-03-24,2,28,1,16.0,True,2392.0,1076.48
402,2025-03-24,2,30,1,18.4,False,0.0,1237.95
403,2025-03-31,2,7,2,17.3,True,2586.35,1163.94
404,2025-03-31,2,30,2,22.1,False,0.0,1486.89
405,2025-04-07,2,28,2,18.4,True,2750.8,1237.95
406,2025-04-07,2,30,2,17.6,False,0.0,1184.13
407,2025-04-14,2,13,3,20.1,True,3004.95,1352.33
408,2025-04-14,2,30,3,14.6,False,0.0,982.29
409,2025-04-21,2,13,2,17.7,True,2646.15,1190.86
410,2025-04-21,2,30,2,18.7,False,0.0,1258.14
411,2025-04-28,2,7,1,14.2,True,2122.9,955.38
412,2025-04-28,2,30,1,17.2,False,0.0,1157.22
413,2025-05-05,2,7,2,15.1,True,2257.45,1015.93
414,2025-05-05,2,30,2,20.2,False,0.0,1359.06
415,2025-05-12,2,28,1,19.3,True,2885.35,1298.5
416,2025-05-12,2,30,1,16.8,False,0.0,1130.3
417,2025-05-19,2,13,2,15.5,True,2317.25,1042.84
418,2025-05-19,2,7,2,1.7,True,254.15,114.38
419,2025-05-19,2,30,2,18.6,False,0.0,1251.41
420,2025-05-26,2,9,2,8.1,True,1210.95,544.97
421,2025-05-26,2,13,2,7.1,True,1061.45,477.69
422,2025-05-26,2,30,2,16.3,False,0.0,1096.66
423,2025-06-02,2,9,1,9.5,True,1420.25,639.16
424,2025-06-02,2,28,1,9.5,True,1420.25,639.16
425,2025-06-02,2,30,1,15.4,False,0.0,1036.11
426,2025-06-09,2,13,1,13.7,True,2048.15,921.74
427,2025-06-09,2,30,1,15.1,False,0.0,1015.93
428,2025-06-16,2,7,2,3.5,True,523.25,235.48
429,2025-06-16,2,9,2,13.5,True,2018.25,908.28
430,2025-06-16,2,30,2,16.5,False,0.0,1110.12
431,2025-06-23,2,13,3,11.4,True,1704.3,766.99
432,2025-06-23,2,28,3,6.2,True,926.9,417.14
433,2025-06-23,2,30,3,15.6,False,0.0,1049.57
434,2025-06-30,2,13,2,16.2,True,2421.9,1089.94
435,2025-06-30,2,30,2,18.3,False,0.0,1231.22
436,2025-07-07,2,28,1,10.1,True,1509.95,679.53
437,2025-07-07,2,30,1,8.7,False,0.0,585.34
438,2025-07-14,2,28,1,9.8,True,1465.1,659.34
439,2025-07-14,2,30,1,8.7,False,0.0,585.34
440,2025-07-21,2,9,2,8.8,True,1315.6,592.06
441,2025-07-21,2,28,2,2.3,True,343.85,154.74
442,2025-07-21,2,30,2,10.7,False,0.0,719.9
443,2025-07-28,2,28,1,9.2,True,1375.4,618.98
444,2025-07-28,2,30,1,10.4,False,0.0,699.71
445,2025-08-04,2,28,2,15.3,True,2287.35,1029.38
446,2025-08-04,2,30,2,18.8,False,0.0,1264.86
447,2025-08-11,2,13,3,17.0,True,2541.5,1143.76
448,2025-08-11,2,30,3,15.5,False,0.0,1042.84
449,2025-08-18,2,7,2,14.8,True,2212.6,995.74
450,2025-08-18,2,30,2,19.2,False,0.0,1291.78
451,2025-08-25,2,9,1,12.9,True,1928.55,867.91
452,2025-08-25,2,30,1,22.7,False,0.0,1527.26
453,2025-09-01,2,9,3,16.9,True,2526.55,1137.03
454,2025-09-01,2,30,3,20.8,False,0.0,1399.42
455,2025-09-08,2,7,3,19.9,True,2975.05,1338.87
456,2025-09-08,2,30,3,16.8,False,0.0,1130.3
457,2025-09-15,2,13,2,16.4,True,2451.8,1103.39
458,2025-09-15,2,30,2,20.8,False,0.0,1399.42
459,2025-09-22,2,13,1,17.5,True,2616.25,1177.4
460,2025-09-22,2,30,1,18.9,False,0.0,1271.59
461,2025-09-29,2,7,2,15.5,True,2317.25,1042.84
462,2025-09-29,2,30,2,23.1,False,0.0,1554.17
463,2025-10-06,2,28,1,7.2,True,1076.4,484.42
464,2025-10-06,2,9,1,7.2,True,1076.4,484.42
