DonationKey,Donation Date,DonorKey,CampaignKey,ChannelKey,FundraiserKey,Gift Amount,Gift Type,Payment Method,Is First Gift
28829,2022-01-17,2702,4,4,,17.41,One-off,Card,True
83635,2022-01-17,8030,4,4,,199.29,One-off,Bank Transfer,True
57229,2022-01-17,5520,3,3,,4.97,One-off,Card,True
39052,2022-01-17,3741,2,2,,5.46,Recurring,MobilePay,True
82268,2022-01-17,7929,5,5,,26.3,Recurring,Bank Transfer,True
74250,2022-01-17,7200,1,1,12.0,6.91,Recurring,Card,True
53757,2022-01-17,5185,1,1,3.0,111.7,Recurring,Card,True
33437,2022-01-18,3133,5,5,,9.77,Recurring,Card,True
33020,2022-01-18,3094,1,1,7.0,19.95,Recurring,Bank Transfer,True
59683,2022-01-18,5766,1,1,36.0,24.55,Recurring,Card,True
119300,2022-01-18,11489,5,5,,14.16,One-off,Card,True
120811,2022-01-18,11612,6,6,23.0,11.19,Recurring,MobilePay,True
35383,2022-01-18,3350,5,5,,2.53,One-off,Card,True
45635,2022-01-19,4390,1,1,29.0,21.25,Recurring,Card,True
33669,2022-01-19,3149,1,1,12.0,32.22,Recurring,Card,True
4461,2022-01-19,410,2,2,,3.68,One-off,Card,True
59680,2022-01-19,5765,2,2,,29.56,One-off,Invoice,True
68312,2022-01-19,6609,1,1,15.0,25.64,Recurring,Card,True
98715,2022-01-20,9488,1,1,17.0,51.91,Recurring,Card,True
105530,2022-01-20,10154,2,2,,7.24,One-off,Card,True
91866,2022-01-20,8839,1,1,7.0,33.67,Recurring,Bank Transfer,True
10567,2022-01-21,1025,5,5,,73.64,One-off,Invoice,True
71164,2022-01-22,6884,1,1,36.0,13.74,One-off,Bank Transfer,True
61235,2022-01-22,5931,4,4,,18.31,One-off,Card,True
60163,2022-01-22,5810,6,6,23.0,54.89,Recurring,MobilePay,True
110331,2022-01-22,10647,1,1,3.0,23.75,Recurring,Card,True
101801,2022-01-22,9774,4,4,,66.24,One-off,Bank Transfer,True
109692,2022-01-23,10594,3,3,,10.55,One-off,Card,True
29483,2022-01-23,2764,3,3,,94.53,Recurring,Card,True
26861,2022-01-23,2526,3,3,,14.51,Recurring,MobilePay,True
44424,2022-01-23,4259,1,1,30.0,18.55,Recurring,Card,True
34155,2022-01-23,3203,1,1,14.0,64.85,One-off,Bank Transfer,True
117260,2022-01-23,11313,2,2,,28.04,One-off,Card,True
94301,2022-01-23,9065,4,4,,18.08,One-off,Card,True
99754,2022-01-24,9598,3,3,,73.83,One-off,Card,True
81309,2022-01-24,7844,1,1,35.0,67.4,Recurring,Invoice,True
58299,2022-01-24,5629,4,4,,46.79,One-off,Card,True
60845,2022-01-24,5888,1,1,5.0,26.74,Recurring,Card,True
90461,2022-01-24,8726,2,2,,25.12,One-off,Card,True
34160,2022-01-25,3206,2,2,,26.29,Recurring,Card,True
35316,2022-01-25,3341,1,1,33.0,24.82,Recurring,Card,True
71900,2022-01-25,6956,1,1,9.0,7.55,Recurring,MobilePay,True
20375,2022-01-25,1931,5,5,,56.25,Recurring,Card,True
2015,2022-01-25,194,3,3,,16.43,One-off,Bank Transfer,True
74177,2022-01-26,7195,6,6,2.0,5.13,One-off,MobilePay,True
52648,2022-01-26,5060,3,3,,15.13,Recurring,Card,True
61486,2022-01-26,5960,4,4,,41.25,One-off,MobilePay,True
39638,2022-01-26,3800,5,5,,7.5,Recurring,Bank Transfer,True
47569,2022-01-26,4575,2,2,,29.37,One-off,Bank Transfer,True
34607,2022-01-26,3265,5,5,,8.5,Recurring,Card,True
44316,2022-01-26,4246,6,6,12.0,12.71,One-off,MobilePay,True
2512,2022-01-27,234,3,3,,27.24,Recurring,Bank Transfer,True
97322,2022-01-27,9356,6,6,37.0,11.29,One-off,Card,True
123466,2022-01-27,11883,6,6,20.0,45.0,One-off,Bank Transfer,True
28942,2022-01-27,2711,5,5,,69.07,Recurring,Card,True
35238,2022-01-27,3334,2,2,,33.1,Recurring,Bank Transfer,True
80758,2022-01-27,7791,1,1,6.0,25.95,One-off,Card,True
77050,2022-01-28,7461,1,1,11.0,9.86,Recurring,Bank Transfer,True
4075,2022-01-28,371,4,4,,37.27,One-off,Card,True
116468,2022-01-28,11232,5,5,,69.44,Recurring,Bank Transfer,True
108774,2022-01-28,10494,2,2,,38.51,Recurring,Bank Transfer,True
13877,2022-01-28,1330,4,4,,29.07,One-off,Card,True
28317,2022-01-29,2662,4,4,,43.96,One-off,MobilePay,True
22129,2022-01-29,2078,1,1,27.0,17.72,One-off,Bank Transfer,True
78692,2022-01-29,7606,1,1,39.0,33.14,Recurring,Bank Transfer,True
35153,2022-01-29,3327,1,1,30.0,29.07,Recurring,MobilePay,True
7690,2022-01-30,714,2,2,,17.04,Recurring,Card,True
98664,2022-01-30,9485,1,1,3.0,36.45,Recurring,Bank Transfer,True
96044,2022-01-31,9235,2,2,,105.28,One-off,Card,True
87815,2022-01-31,8468,1,1,35.0,2.12,Recurring,Bank Transfer,True
74923,2022-01-31,7243,4,4,,39.14,One-off,Bank Transfer,True
42986,2022-01-31,4117,6,6,14.0,72.48,One-off,Card,True
3441,2022-01-31,315,6,6,36.0,13.75,One-off,Card,True
59275,2022-02-01,5729,2,2,,230.35,Recurring,Card,True
12104,2022-02-01,1174,4,4,,80.03,Recurring,Invoice,True
92358,2022-02-01,8890,2,2,,51.54,Recurring,Invoice,True
24525,2022-02-01,2277,2,2,,160.09,One-off,Card,True
16675,2022-02-01,1605,3,3,,32.46,Recurring,Card,True
30843,2022-02-01,2894,5,5,,18.84,One-off,Card,True
28108,2022-02-01,2642,6,6,22.0,183.95,Recurring,Invoice,True
24937,2022-02-02,2334,5,5,,63.39,One-off,Card,True
53377,2022-02-02,5140,2,2,,15.32,One-off,MobilePay,True
16944,2022-02-02,1633,3,3,,29.72,Recurring,Bank Transfer,True
58573,2022-02-02,5660,1,1,33.0,22.75,Recurring,Bank Transfer,True
89210,2022-02-02,8601,3,3,,46.76,One-off,Card,True
45015,2022-02-03,4318,1,1,38.0,6.55,Recurring,MobilePay,True
9621,2022-02-03,935,6,6,1.0,14.5,One-off,Invoice,True
85701,2022-02-03,8253,3,3,,79.89,One-off,Card,True
55284,2022-02-03,5342,2,2,,22.77,Recurring,Card,True
5601,2022-02-03,512,4,4,,40.51,One-off,MobilePay,True
71809,2022-02-03,6944,1,1,40.0,24.14,Recurring,Card,True
119530,2022-02-03,11507,1,1,29.0,5.02,Recurring,MobilePay,True
81310,2022-02-04,7844,1,1,,39.1,Recurring,Card,False
63686,2022-02-04,6179,1,1,,19.65,Recurring,Card,False
20429,2022-02-04,1934,4,4,,11.74,Recurring,Card,False
87162,2022-02-04,8400,2,2,,28.01,Recurring,Bank Transfer,True
34608,2022-02-04,3265,5,5,,15.09,Recurring,Card,False
26862,2022-02-04,2526,3,3,,6.44,Recurring,Card,False
20376,2022-02-04,1931,5,5,,15.12,Recurring,Card,False
71029,2022-02-04,6871,1,1,,40.62,Recurring,Card,False
88036,2022-02-04,8489,2,2,,6.38,Recurring,Card,False
116469,2022-02-04,11232,5,5,,17.4,Recurring,Card,False
87239,2022-02-04,8411,2,2,,24.64,Recurring,Card,False
45636,2022-02-04,4390,1,1,,5.75,Recurring,Card,False
71470,2022-02-04,6923,2,2,,10.63,Recurring,Card,False
24160,2022-02-04,2253,2,2,,26.55,Recurring,Card,False
62106,2022-02-04,6010,2,2,,9.71,Recurring,Card,False
91867,2022-02-04,8839,1,1,,16.39,Recurring,Card,False
39053,2022-02-04,3741,2,2,,8.04,Recurring,Card,False
49971,2022-02-04,4814,5,5,,5.29,Recurring,Card,False
109634,2022-02-04,10586,2,2,,10.37,Recurring,Card,False
35317,2022-02-04,3341,1,1,,13.33,Recurring,Card,False
94899,2022-02-04,9131,3,3,,22.56,One-off,Card,True
48280,2022-02-04,4641,1,1,,12.21,Recurring,Card,False
7691,2022-02-04,714,2,2,,40.56,Recurring,Card,False
95449,2022-02-04,9177,1,1,,23.17,Recurring,Card,False
35239,2022-02-04,3334,2,2,,16.11,Recurring,Card,False
122882,2022-02-04,11818,4,4,,31.61,One-off,Card,True
35154,2022-02-04,3327,1,1,,10.39,Recurring,Card,False
46751,2022-02-04,4501,1,1,,7.48,Recurring,Card,False
87816,2022-02-04,8468,1,1,,17.25,Recurring,Card,False
661,2022-02-04,73,1,1,,12.43,Recurring,Card,False
78693,2022-02-04,7606,1,1,,13.08,Recurring,Card,False
94320,2022-02-04,9068,6,6,,7.19,Recurring,Card,False
70614,2022-02-04,6830,5,5,,14.99,Recurring,Card,False
31879,2022-02-04,2997,1,1,,18.48,Recurring,Card,False
114233,2022-02-04,11031,1,1,,12.62,Recurring,Card,False
2513,2022-02-04,234,3,3,,13.21,Recurring,Card,False
39639,2022-02-04,3800,5,5,,13.18,Recurring,Card,False
9426,2022-02-04,910,1,1,,9.61,Recurring,Card,False
34711,2022-02-04,3271,6,6,,27.82,Recurring,Card,False
16800,2022-02-04,1615,1,1,,5.11,Recurring,Card,False
108775,2022-02-04,10494,2,2,,20.09,Recurring,Card,False
55992,2022-02-04,5412,2,2,,20.01,Recurring,Card,True
29436,2022-02-04,2763,1,1,,13.51,Recurring,Card,False
110332,2022-02-04,10647,1,1,,17.51,Recurring,Card,False
64715,2022-02-04,6274,5,5,,9.65,Recurring,Card,False
119966,2022-02-04,11547,2,2,,13.18,Recurring,Card,False
87657,2022-02-04,8457,2,2,,3.11,Recurring,Card,True
116373,2022-02-04,11226,1,1,,10.17,Recurring,Card,False
74251,2022-02-04,7200,1,1,,20.72,Recurring,Card,False
15912,2022-02-04,1538,1,1,,8.07,Recurring,Card,False
96097,2022-02-04,9244,2,2,,8.12,Recurring,Card,False
59750,2022-02-04,5779,2,2,,44.74,Recurring,Card,False
74890,2022-02-04,7241,1,1,,23.25,Recurring,Card,False
11168,2022-02-04,1078,6,6,,11.82,Recurring,Card,False
33021,2022-02-04,3094,1,1,,9.86,Recurring,Card,False
77051,2022-02-04,7461,1,1,,49.0,Recurring,Card,False
33670,2022-02-04,3149,1,1,,12.6,Recurring,Card,False
42406,2022-02-04,4050,2,2,,13.78,Recurring,Card,False
18698,2022-02-04,1784,6,6,,8.06,Recurring,Card,False
59684,2022-02-04,5766,1,1,,36.05,Recurring,Card,False
93657,2022-02-04,9003,1,1,,14.31,Recurring,Card,False
38730,2022-02-04,3710,1,1,,6.66,Recurring,Card,False
60846,2022-02-04,5888,1,1,,11.7,Recurring,Card,False
104293,2022-02-04,10014,2,2,,12.47,Recurring,Card,False
98716,2022-02-04,9488,1,1,,19.87,Recurring,Card,False
21258,2022-02-04,1998,6,6,,18.43,Recurring,Card,False
82269,2022-02-04,7929,5,5,,20.0,Recurring,Card,False
96681,2022-02-04,9295,1,1,,12.32,Recurring,Card,False
60164,2022-02-04,5810,6,6,,8.31,Recurring,Card,False
53018,2022-02-04,5092,1,1,,7.15,Recurring,Card,False
79124,2022-02-04,7648,1,1,,15.73,Recurring,Card,False
42901,2022-02-04,4102,2,2,,30.58,Recurring,Card,True
1668,2022-02-04,173,1,1,,7.97,Recurring,Card,False
33397,2022-02-04,3129,1,1,,9.4,Recurring,Card,False
47949,2022-02-04,4613,1,1,,15.83,Recurring,Card,False
42113,2022-02-04,4035,2,2,,11.95,Recurring,Card,False
60183,2022-02-04,5814,5,5,,7.87,Recurring,Card,False
86199,2022-02-04,8306,1,1,37.0,114.6,Recurring,Bank Transfer,True
53916,2022-02-04,5204,1,1,,6.57,Recurring,Card,False
33438,2022-02-04,3133,5,5,,19.7,Recurring,Card,False
83610,2022-02-04,8028,1,1,,12.85,Recurring,Card,False
120812,2022-02-04,11612,6,6,,19.43,Recurring,Card,False
59156,2022-02-04,5719,2,2,,7.03,Recurring,Card,False
3720,2022-02-04,343,1,1,,39.33,Recurring,Card,False
5026,2022-02-04,463,1,1,,34.47,Recurring,Card,False
52649,2022-02-04,5060,3,3,,48.83,Recurring,Card,False
51605,2022-02-04,4965,1,1,,9.14,Recurring,Card,False
92833,2022-02-04,8930,2,2,,22.32,Recurring,Card,False
28943,2022-02-04,2711,5,5,,17.05,Recurring,Card,False
99406,2022-02-04,9561,5,5,,12.86,Recurring,Card,False
68313,2022-02-04,6609,1,1,,16.81,Recurring,Card,False
53758,2022-02-04,5185,1,1,,24.45,Recurring,Card,False
44425,2022-02-04,4259,1,1,,7.69,Recurring,Card,False
123349,2022-02-04,11870,4,4,,29.8,Recurring,Bank Transfer,True
71901,2022-02-04,6956,1,1,,12.93,Recurring,Card,False
22133,2022-02-04,2079,5,5,,9.57,Recurring,Card,False
1333,2022-02-04,140,1,1,,6.6,Recurring,Card,False
34161,2022-02-04,3206,2,2,,9.91,Recurring,Card,False
98665,2022-02-04,9485,1,1,,21.02,Recurring,Card,False
96270,2022-02-04,9264,2,2,,19.6,Recurring,Card,False
121240,2022-02-05,11653,1,1,30.0,17.89,Recurring,MobilePay,True
110959,2022-02-05,10702,1,1,36.0,23.49,Recurring,Card,True
1048,2022-02-05,107,7,7,,4397.64,Major Gift,Bank Transfer,True
41883,2022-02-05,4008,6,6,37.0,35.01,Recurring,Card,True
19295,2022-02-05,1844,1,1,4.0,10.21,Recurring,Card,True
51642,2022-02-05,4969,2,2,,8.83,Recurring,Invoice,True
54730,2022-02-05,5280,1,1,37.0,61.88,Recurring,Card,True
49443,2022-02-06,4748,2,2,,13.75,Recurring,Card,True
64738,2022-02-06,6274,5,5,,26.97,One-off,Card,False
77916,2022-02-06,7536,5,5,,18.73,Recurring,MobilePay,True
119375,2022-02-06,11498,1,1,19.0,5.49,Recurring,Invoice,True
104733,2022-02-06,10056,4,4,,37.3,One-off,MobilePay,True
41320,2022-02-06,3953,1,1,35.0,30.3,Recurring,MobilePay,True
112339,2022-02-07,10864,4,4,,36.37,Recurring,Bank Transfer,True
110182,2022-02-07,10640,2,2,,14.96,One-off,Bank Transfer,True
57109,2022-02-07,5508,4,4,,82.0,One-off,Invoice,True
119729,2022-02-07,11526,1,1,36.0,6.57,Recurring,Card,True
83858,2022-02-08,8059,6,6,1.0,16.08,One-off,Card,True
42164,2022-02-08,4037,3,3,,56.83,Recurring,Card,True
108192,2022-02-08,10428,2,2,,273.8,One-off,Card,True
31483,2022-02-08,2950,2,2,,18.15,One-off,MobilePay,True
93649,2022-02-09,9002,3,3,,40.81,Recurring,Bank Transfer,True
110379,2022-02-09,10648,1,1,14.0,27.19,Recurring,Bank Transfer,True
106881,2022-02-09,10299,2,2,,13.17,Recurring,MobilePay,True
40526,2022-02-09,3887,2,2,,19.95,One-off,MobilePay,True
22257,2022-02-09,2091,1,1,22.0,13.4,Recurring,Card,True
115845,2022-02-10,11181,2,2,,4.31,Recurring,Bank Transfer,True
18040,2022-02-10,1737,1,1,35.0,23.14,Recurring,Card,True
112861,2022-02-10,10910,1,1,21.0,78.33,Recurring,Card,True
54031,2022-02-10,5217,1,1,33.0,88.98,One-off,MobilePay,True
64850,2022-02-10,6286,1,1,34.0,23.29,Recurring,Bank Transfer,True
4462,2022-02-11,410,2,2,,134.13,One-off,Card,False
840,2022-02-11,86,1,1,10.0,91.59,Recurring,MobilePay,True
80712,2022-02-11,7790,1,1,10.0,18.75,Recurring,Bank Transfer,True
105379,2022-02-11,10128,3,3,,86.33,One-off,Bank Transfer,True
84797,2022-02-11,8163,2,2,,40.42,One-off,Bank Transfer,True
79009,2022-02-12,7639,1,1,11.0,12.77,Recurring,MobilePay,True
8812,2022-02-12,835,3,3,,47.27,One-off,Card,False
48161,2022-02-12,4632,5,5,,7.95,One-off,Bank Transfer,True
30076,2022-02-12,2821,3,3,,14.57,One-off,MobilePay,False
5552,2022-02-12,511,2,2,,10.35,Recurring,MobilePay,True
54513,2022-02-12,5268,1,1,24.0,15.19,Recurring,Card,True
116087,2022-02-13,11202,1,1,24.0,15.81,Recurring,Card,True
25722,2022-02-13,2402,2,2,,96.51,One-off,Card,True
97118,2022-02-13,9341,3,3,,5.44,One-off,Bank Transfer,True
82911,2022-02-13,7979,2,2,,17.32,One-off,Bank Transfer,True
53832,2022-02-13,5192,2,2,,577.8,One-off,Card,False
79475,2022-02-13,7676,2,2,,18.1,One-off,MobilePay,True
108395,2022-02-13,10451,5,5,,14.64,One-off,MobilePay,True
66636,2022-02-14,6450,5,5,,21.81,One-off,MobilePay,True
19061,2022-02-14,1816,1,1,17.0,3.17,Recurring,Card,True
61388,2022-02-14,5951,4,4,,38.05,One-off,Card,True
77164,2022-02-14,7468,7,7,,6530.12,Major Gift,Card,True
35731,2022-02-14,3392,1,1,39.0,11.35,Recurring,Card,True
117261,2022-02-14,11313,2,2,,5.22,One-off,Card,False
87009,2022-02-14,8372,2,2,,9.23,One-off,Card,True
7979,2022-02-14,751,1,1,40.0,28.48,Recurring,Card,True
57473,2022-02-14,5545,1,1,17.0,65.65,Recurring,Card,True
23631,2022-02-15,2214,1,1,18.0,14.79,Recurring,MobilePay,True
112302,2022-02-15,10855,2,2,,3.93,One-off,Card,True
99056,2022-02-15,9517,3,3,,17.62,One-off,MobilePay,True
71405,2022-02-15,6913,2,2,,42.09,One-off,Bank Transfer,True
47743,2022-02-15,4589,2,2,,24.84,One-off,Card,True
65979,2022-02-15,6395,1,1,31.0,13.77,Recurring,Card,True
65008,2022-02-15,6298,1,1,35.0,5.51,Recurring,Bank Transfer,True
97323,2022-02-15,9356,6,6,,50.88,One-off,Card,False
81108,2022-02-16,7826,2,2,,15.25,One-off,MobilePay,True
7323,2022-02-16,683,1,1,38.0,8.73,Recurring,Card,True
5243,2022-02-16,491,1,1,25.0,13.8,Recurring,MobilePay,True
97122,2022-02-16,9342,3,3,,71.98,One-off,Card,True
96219,2022-02-17,9263,5,5,,7.4,Recurring,Card,True
20270,2022-02-17,1920,4,4,,29.38,One-off,Card,True
40011,2022-02-17,3835,6,6,19.0,50.27,Recurring,Card,True
55115,2022-02-17,5328,1,1,16.0,10.25,One-off,Bank Transfer,True
16050,2022-02-17,1549,5,5,,5.23,Recurring,Card,True
33998,2022-02-17,3187,5,5,,40.96,One-off,Card,True
89739,2022-02-18,8661,1,1,28.0,7.23,Recurring,MobilePay,True
56983,2022-02-18,5494,2,2,,15.85,One-off,Card,True
62525,2022-02-18,6050,1,1,36.0,15.46,Recurring,Card,True
62881,2022-02-18,6090,1,1,3.0,26.74,Recurring,Card,True
8962,2022-02-18,849,2,2,,28.8,Recurring,Card,True
89652,2022-02-18,8650,1,1,40.0,80.82,Recurring,Card,True
29421,2022-02-18,2760,2,2,,8.32,One-off,Card,True
33727,2022-02-18,3160,2,2,,17.81,Recurring,MobilePay,True
75446,2022-02-19,7290,4,4,,47.56,One-off,Card,True
4372,2022-02-19,400,5,5,,11.41,Recurring,Bank Transfer,True
62483,2022-02-19,6044,4,4,,9.82,One-off,Card,True
69612,2022-02-19,6745,2,2,,1.6,One-off,MobilePay,True
88281,2022-02-19,8512,6,6,27.0,50.25,Recurring,Invoice,True
91931,2022-02-19,8844,2,2,,39.51,One-off,Card,True
116421,2022-02-19,11227,6,6,31.0,42.06,One-off,Bank Transfer,True
100801,2022-02-19,9694,2,2,,4.94,Recurring,Invoice,True
107448,2022-02-19,10359,2,2,,32.17,Recurring,Card,True
22963,2022-02-19,2155,2,2,,39.27,One-off,Card,False
32941,2022-02-20,3083,2,2,,20.78,One-off,Card,False
14361,2022-02-20,1375,5,5,,26.19,Recurring,Bank Transfer,True
20607,2022-02-20,1948,1,1,19.0,33.57,Recurring,Card,True
68213,2022-02-21,6602,1,1,30.0,59.93,Recurring,Card,True
6099,2022-02-21,554,4,4,,11.56,One-off,Card,True
119935,2022-02-21,11545,6,6,23.0,12.33,Recurring,Bank Transfer,True
56327,2022-02-21,5437,1,1,25.0,3.06,Recurring,Card,True
50640,2022-02-21,4872,2,2,,45.8,One-off,Card,True
47245,2022-02-21,4538,4,4,,118.14,Recurring,Card,True
109693,2022-02-21,10594,3,3,,14.44,One-off,Card,False
12763,2022-02-21,1238,1,1,3.0,21.51,Recurring,Card,True
110249,2022-02-22,10644,1,1,30.0,8.08,Recurring,Card,True
120865,2022-02-22,11618,1,1,4.0,34.37,Recurring,Card,True
37894,2022-02-22,3626,4,4,,23.61,One-off,Card,True
68860,2022-02-22,6659,6,6,29.0,9.17,One-off,Card,True
268,2022-02-22,29,2,2,,12.57,One-off,Card,True
62574,2022-02-22,6051,2,2,,14.55,One-off,MobilePay,False
22435,2022-02-22,2101,3,3,,42.9,One-off,Card,True
20852,2022-02-22,1967,2,2,,55.14,One-off,Card,True
121518,2022-02-22,11683,1,1,20.0,22.14,Recurring,Card,True
30450,2022-02-22,2854,1,1,25.0,11.72,Recurring,Bank Transfer,True
69597,2022-02-23,6742,3,3,,37.54,One-off,Bank Transfer,True
114314,2022-02-23,11034,3,3,,98.25,One-off,Card,True
77227,2022-02-23,7478,1,1,25.0,28.88,Recurring,Card,True
107555,2022-02-23,10365,1,1,10.0,28.36,Recurring,MobilePay,True
2644,2022-02-23,243,3,3,,14.97,One-off,Card,True
57742,2022-02-23,5569,2,2,,57.64,Recurring,MobilePay,True
77543,2022-02-24,7500,1,1,6.0,12.5,Recurring,Card,True
34310,2022-02-24,3224,5,5,,27.08,Recurring,Card,True
68727,2022-02-24,6648,1,1,11.0,44.57,Recurring,Bank Transfer,True
